Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
big 5,Informational,1300,"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.62,1.00,1.00,0.81,0.81",18,0.23,0.16,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
estp 여자 성격,Informational,1300,"0.53,0.46,0.53,0.53,1.00,1.00,0.84,0.68,0.84,0.84,0.84,0.84",24,0.00,0.33,"Image pack, Video, Related searches"
mbti 성격 유형,Informational,1300,"0.53,0.46,0.53,0.68,0.84,1.00,0.84,0.68,1.00,1.00,0.84,0.68",30,0.05,0.04,"AI Overview, Image pack, Video, People also ask, Related searches"
성격 영어 로,Informational,1300,"0.53,0.53,0.68,0.68,0.68,0.53,0.68,0.68,1.00,1.00,0.84,0.84",30,0.00,0.33,"AI Overview, Instant answer, Video, Short videos, Related searches"
연극 성 성격 장애,Informational,1300,"0.81,1.00,0.81,0.81,1.00,1.00,1.00,1.00,0.81,0.81,0.62,0.81",21,0.00,0.01,"AI Overview, Image, Image pack, Video, Related searches"
estj 여자 성격,Informational,1000,"0.00,0.00,0.00,0.00,0.68,0.68,0.53,0.68,0.84,0.84,1.00,0.84",15,0.00,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
경계 성 성격 장애,Informational,1000,"1.00,1.00,1.00,1.00,1.00,0.77,0.68,0.77,0.77,0.68,0.77,0.77",31,9.04,0.03,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
말티즈 성격,Informational,1000,"0.55,0.62,0.62,0.62,0.55,0.55,0.62,0.55,0.62,1.00,1.00,0.81",20,0.48,0.02,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
성격 검사,Informational,1000,"0.81,0.62,0.62,0.62,0.62,0.81,0.62,0.55,0.81,1.00,1.00,0.81",21,0.14,0.15,"Image pack, Video, Video carousel, Related searches"
성격 장애,Informational,1000,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.88,1.00,1.00,1.00,1.00",20,0.00,0.33,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
포메라니안 성격,Informational,1000,"0.55,0.55,0.55,0.62,0.55,0.55,0.62,0.62,0.62,1.00,0.81,0.81",27,0.78,0.03,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
istp 성격,Informational,880,"0.55,0.55,0.55,0.55,0.68,1.00,0.55,0.45,0.77,0.68,0.68,0.55",20,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
빅 5,Informational,880,"0.72,0.72,0.88,0.88,0.72,1.00,1.00,0.72,0.88,0.88,0.88,0.72",26,0.23,0.01,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
intj 성격,Informational,720,"0.59,0.59,0.59,0.59,0.59,1.00,0.72,0.48,0.88,0.88,0.72,0.72",21,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
고양이 성격,Informational,720,"0.55,0.55,0.55,0.55,0.45,0.45,0.45,0.37,0.55,0.77,1.00,0.68",19,0.60,0.01,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
별자리 성격,Informational,720,"0.82,0.82,1.00,0.82,0.67,0.82,0.67,0.44,0.55,0.67,0.55,0.55",17,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
비숑 성격,Informational,720,"0.67,0.67,0.67,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00,0.82",23,0.82,0.06,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
빅 파이브,Informational,720,"0.67,0.67,0.67,0.82,1.00,0.82,0.82,0.55,1.00,1.00,1.00,0.82",22,0.16,0.02,"Image pack, Video, Video carousel, Related searches"
성격 유형,Informational,720,"0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.67,1.00,1.00,1.00,0.82",29,0.05,0.04,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
인격 장애,Informational,720,"1.00,1.00,0.82,1.00,1.00,0.82,1.00,0.82,1.00,1.00,1.00,1.00",27,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
entp 성격,Informational,590,"0.37,0.37,0.37,0.37,0.45,1.00,0.45,0.37,0.68,0.68,0.45,0.37",22,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
intp 성격,Informational,590,"0.59,0.59,0.48,0.59,0.59,1.00,0.59,0.48,0.72,0.72,0.59,0.48",22,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
istj 성격,Informational,590,"0.55,0.55,0.55,0.67,0.67,1.00,0.67,0.44,0.82,0.82,0.67,0.55",18,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
무료 성격 유형 검사,Informational,590,"0.48,0.48,0.48,0.48,0.48,0.59,0.59,0.48,0.88,1.00,0.72,0.59",31,0.18,0.05,"Video, Related searches"
성격 의 장단점,Informational,590,"0.82,0.82,1.00,0.82,1.00,0.67,0.82,0.67,0.82,0.82,0.82,0.54",12,0.07,0.01,"AI Overview, Image pack, Video, Video carousel, Related searches"
성격 포켓몬,Informational,590,"0.54,1.00,0.82,0.67,0.44,0.67,0.82,1.00,1.00,0.82,0.82,0.29",25,0.00,0.33,"Image pack, Video, Related searches"
성격 표,Informational,590,"0.55,1.00,0.82,0.67,0.55,0.55,0.67,0.67,0.82,0.67,0.67,0.55",18,0.00,0.33,"Image pack, People also ask, Related searches"
조현성 성격 장애,Informational,590,"0.81,0.81,1.00,1.00,1.00,1.00,0.81,1.00,1.00,0.81,0.81,0.81",19,0.00,0.33,"Image pack, Video, Video carousel, Related searches"
회피 성 성격 장애 테스트,Informational,590,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,1.00,0.81,0.66",9,1.69,0.15,"Reviews, Video, Related searches"
a 형 성격,Informational,480,"1.00,0.81,0.81,1.00,1.00,1.00,1.00,0.81,1.00,0.81,1.00,1.00",20,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
b 형 성격,Informational,480,"1.00,1.00,1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",13,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Short videos, Related searches"
big5 검사,Commercial,480,"0.67,0.82,1.00,0.67,0.67,0.54,0.82,0.44,0.54,0.82,0.36,0.29",19,0.27,0.24,"Image pack, Video, Related searches"
enfp 성격,Informational,480,"0.39,0.32,0.39,0.32,0.48,1.00,0.39,0.32,0.88,0.72,0.39,0.39",22,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
entj 성격,Informational,480,"0.55,0.44,0.44,0.55,0.55,1.00,0.55,0.44,0.82,0.67,0.55,0.44",22,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
estp 성격,Informational,480,"0.44,0.44,0.44,0.44,0.55,1.00,0.55,0.44,0.82,0.82,0.55,0.55",25,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
infj 성격,Informational,480,"0.54,0.54,0.54,0.67,0.82,1.00,0.67,0.67,1.00,0.82,0.67,0.67",23,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
infp 성격,Informational,480,"0.55,0.55,0.44,0.44,0.55,1.00,0.55,0.44,0.67,0.67,0.55,0.44",19,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
isfp 성격,Informational,480,"0.67,0.67,0.54,0.54,0.54,1.00,0.54,0.54,0.82,0.82,0.67,0.54",15,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti 성격,Informational,480,"0.67,0.54,0.54,0.54,0.54,1.00,0.67,0.54,0.67,0.67,0.54,0.44",24,0.09,0.07,"Image pack, Video, Video carousel, Related searches"
o 형 성격,Informational,480,"0.67,0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.82,0.82,0.82,1.00",20,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
리자몽 성격,Informational,480,"0.26,0.72,0.59,1.00,0.48,0.39,0.32,0.32,0.39,0.39,0.32,0.39",25,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
말티 푸 성격,Informational,480,"0.44,0.44,0.36,0.55,0.44,0.44,0.55,0.67,0.67,0.82,1.00,0.82",25,0.82,0.04,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask"
성격 유형 테스트,Informational,480,"0.67,0.67,0.67,0.67,0.67,1.00,0.82,0.67,0.82,1.00,0.82,0.67",27,0.06,0.12,"Video, Related searches"
의존성 성격 장애,Informational,480,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,1.00,0.81,0.81,0.81",18,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
치와와 성격,Informational,480,"0.67,0.67,0.67,0.82,0.67,0.67,0.67,0.67,0.67,1.00,1.00,0.82",25,0.00,0.01,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
캐릭터 성격 키워드,Informational,480,"1.00,0.81,0.81,0.66,0.36,0.66,0.81,0.66,0.81,0.81,0.81,0.81",13,0.00,0.33,Image pack
편집 성 성격 장애,Informational,480,"0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.66,0.81,0.81,1.00,0.81",23,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Related searches"
포켓몬 성격 바꾸기,Informational,480,"0.44,1.00,1.00,0.82,0.55,0.36,0.44,0.55,0.67,0.36,0.36,0.44",25,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Related searches"
혈액형 별 성격,Informational,480,"0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81",21,0.00,0.33,"Image pack, Video, Video carousel, People also ask"
4 차원 성격,Informational,390,"0.67,0.81,0.81,0.67,0.54,0.54,0.81,0.81,1.00,1.00,0.81,1.00",24,0.00,0.33,"AI Overview, Video, Related searches"
big5 성격 검사,Informational,390,"0.36,0.36,0.44,0.44,0.36,0.36,0.82,0.36,1.00,1.00,0.82,0.82",23,0.26,0.34,"Reviews, Image pack, Video, Related searches"
enfj 성격,Informational,390,"0.44,0.44,0.44,0.36,0.44,1.00,0.44,0.29,0.67,0.67,0.54,0.82",22,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
entp 여자 성격,Informational,390,"1.00,0.81,0.66,0.81,0.54,0.66,0.54,0.36,0.54,0.54,0.44,0.36",31,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Related searches"
estj 성격,Informational,390,"0.54,0.44,0.44,0.44,0.54,1.00,0.44,0.44,0.67,0.67,0.67,0.54",20,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
isfj 성격,Informational,390,"0.66,0.54,0.54,0.54,0.54,1.00,0.66,0.44,0.81,0.81,0.66,0.66",19,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Related searches"
가디안 성격,Informational,390,"0.11,0.30,0.24,1.00,0.37,0.24,0.20,0.20,0.24,0.20,0.20,0.16",27,0.00,0.33,"Sitelinks, Image pack, Video, People also ask, Related searches"
강아지 성격,Informational,390,"0.44,0.36,0.36,0.36,0.29,0.19,0.29,0.29,0.44,0.82,1.00,0.67",15,0.57,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
고양이 같은 성격,Informational,390,"0.82,1.00,1.00,1.00,1.00,0.82,0.82,0.67,0.82,1.00,1.00,1.00",19,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
골든 리트리버 성격,Informational,390,"0.54,0.44,0.44,0.54,0.54,0.44,0.44,0.54,0.67,1.00,0.82,0.67",26,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
노소영 성격,Informational,390,"0.07,0.11,0.24,0.62,0.62,0.09,0.81,0.06,0.04,0.20,0.55,1.00",20,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
물병 자리 성격,Informational,390,"0.66,0.66,1.00,0.44,0.54,0.66,0.54,0.44,0.54,0.36,0.44,0.54",20,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
샴 고양이 성격,Informational,390,"1.00,0.66,0.54,0.66,0.54,0.44,0.44,0.44,0.44,0.66,0.54,0.66",24,0.82,0.03,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
성격 단어,Informational,390,"0.81,0.81,1.00,1.00,0.81,0.81,0.67,0.67,1.00,0.81,0.81,0.81",14,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
성격 의 장단점 예시,Informational,390,"0.81,0.81,1.00,0.81,1.00,0.81,0.67,0.44,0.81,0.67,0.67,0.54",11,0.10,0.01,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
성격 장애 종류,Informational,390,"1.00,1.00,0.81,0.81,0.44,0.67,1.00,1.00,0.81,0.81,0.67,0.81",15,2.40,0.02,"AI Overview, Image pack, Video, Video carousel, Related searches"
성격 키워드 모음,Informational,390,"0.81,1.00,0.67,1.00,0.29,0.67,1.00,1.00,0.81,0.81,0.81,0.81",13,0.00,0.33,"Image pack, Video, Related searches"
시바견 성격,Informational,390,"0.54,0.54,0.54,0.67,0.54,0.54,0.54,0.54,0.54,0.82,1.00,1.00",22,0.58,0.02,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
자기 소개서 성격 장단점,Informational,390,"1.00,0.82,1.00,1.00,1.00,0.82,0.82,0.54,1.00,0.82,0.67,0.67",11,0.00,0.01,"Image pack, Video, Related searches"
자소서 성격 장단점,Informational,390,"1.00,0.82,1.00,1.00,1.00,0.82,0.82,0.54,1.00,0.82,0.67,0.67",14,0.00,0.01,"Image pack, Video, People also ask, Related searches"
전갈 자리 성격,Informational,390,"0.66,0.81,1.00,0.66,0.81,0.66,0.54,0.36,0.66,0.54,0.66,0.66",24,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
토끼 성격,Informational,390,"0.44,0.54,0.44,0.36,0.36,0.44,0.54,0.44,0.67,0.82,1.00,0.82",22,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
특질,Informational,390,"0.54,0.44,0.54,0.66,0.66,0.66,0.54,0.44,0.66,1.00,0.66,0.66",27,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
포켓몬 성격 영어,Informational,390,"0.24,0.82,0.55,0.36,0.24,0.30,0.30,0.55,1.00,0.55,0.55,0.44",23,0.00,0.33,"Image pack, Related searches"
푸들 성격,Informational,390,"0.54,0.66,0.66,0.81,0.66,0.66,0.81,0.66,0.66,1.00,1.00,0.81",22,0.63,0.03,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
ab 형 성격,Informational,320,"0.81,0.67,0.67,0.67,0.67,0.81,0.67,0.67,0.67,0.81,1.00,1.00",19,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
ab 형 여자 성격,Informational,320,"1.00,0.82,0.82,0.67,0.82,1.00,0.82,0.82,0.82,0.67,0.54,0.44",20,0.00,0.33,"Image pack, Video, People also ask, Related searches"
disc 성격 유형 검사,Informational,320,"0.54,0.81,0.81,0.54,0.44,0.67,0.44,0.44,1.00,1.00,0.81,0.67",21,0.09,0.17,"Image pack, Video, People also ask, Related searches"
fm 성격,Informational,320,"0.67,0.54,1.00,0.67,0.54,0.44,0.35,0.44,0.35,0.35,0.35,0.44",20,0.00,0.33,"AI Overview, Video, Related searches"
강박성 성격 장애,Informational,320,"0.82,0.82,1.00,0.82,1.00,0.82,0.67,0.54,0.67,0.67,0.82,0.67",13,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Related searches"
겁쟁이 성격,Informational,320,"0.54,1.00,0.81,0.81,0.54,0.67,0.67,0.67,0.81,0.81,0.67,0.54",27,0.00,0.33,"Image pack, People also ask, Related searches"
게자리 성격,Informational,320,"0.67,0.67,1.00,0.67,0.67,0.67,0.54,0.44,0.67,0.67,0.54,0.67",19,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
랙돌 성격,Informational,320,"0.82,0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.82,1.00,1.00,0.82",31,0.79,0.05,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
러시안 블루 성격,Informational,320,"0.82,0.82,0.67,0.82,0.82,0.82,1.00,0.82,0.82,1.00,1.00,0.82",12,0.69,0.02,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
물고기 자리 성격,Informational,320,"0.67,0.81,1.00,0.67,0.67,0.81,0.54,0.54,0.67,0.67,0.54,0.54",18,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
성격 뜻,Informational,320,"0.82,0.67,1.00,0.67,0.82,0.67,0.67,0.67,1.00,1.00,0.82,0.82",27,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
성격 영어,Informational,320,"0.54,0.67,0.67,0.82,0.82,0.67,0.67,0.67,1.00,1.00,0.82,0.67",28,0.00,0.33,"AI Overview, Instant answer, Video, Short videos, People also ask, Related searches"
성격 장단점,Informational,320,"0.82,0.82,0.82,0.82,1.00,0.82,0.67,0.54,1.00,0.82,0.82,0.54",12,0.00,0.33,"AI Overview, Video, Video carousel, Related searches"
시츄 성격,Informational,320,"0.67,0.67,0.82,0.67,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00",21,0.41,0.01,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
쌍둥이 자리 성격,Informational,320,"0.54,0.54,0.81,0.44,0.54,0.67,0.54,0.54,0.54,0.81,0.81,1.00",20,0.00,0.33,"AI Overview, Image pack, People also ask, Related searches"
양자리 성격,Informational,320,"0.67,0.67,1.00,0.54,0.81,0.67,0.54,0.54,0.67,0.81,0.67,0.67",19,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
염소 자리 성격,Informational,320,"0.82,0.82,1.00,0.82,1.00,1.00,0.82,0.67,0.67,0.82,0.82,1.00",18,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
자기 소개서 성격,Informational,320,"1.00,0.81,1.00,0.81,1.00,0.81,0.66,0.66,0.81,0.66,0.81,0.53",10,0.00,0.01,"Image pack, Video, Video carousel, Related searches"
자소서 성격,Informational,320,"1.00,0.81,1.00,0.81,1.00,0.81,0.66,0.66,0.81,0.66,0.81,0.53",12,0.00,0.01,"Image pack, Video, Video carousel, Related searches"
조심 성격,Informational,320,"0.54,1.00,0.67,0.81,0.54,0.67,0.67,0.67,0.81,0.81,0.81,0.81",27,0.00,0.33,"AI Overview, Image pack, People also ask, Related searches"
조현형 성격 장애,Informational,320,"0.67,0.82,0.67,0.67,0.82,1.00,0.67,0.82,0.67,0.67,0.82,0.82",13,0.00,0.33,"Image pack, Video, Video carousel, People also ask"
천칭 자리 성격,Informational,320,"0.54,0.66,1.00,0.54,0.66,0.54,0.44,0.29,0.44,0.54,0.44,0.44",16,0.00,0.33,"AI Overview, Video, Related searches"
친구모아 아일랜드 성격,Commercial,320,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.00,0.67,0.19",23,0.00,0.33,"Reviews, Video, People also ask, Related searches"
캐릭터 성격,Informational,320,"0.81,0.81,0.67,0.81,0.54,0.54,0.67,0.67,0.81,0.67,1.00,0.67",20,0.00,0.33,"Image pack, Video, Related searches"
캐릭터 성격 종류,Informational,320,"0.67,0.67,0.54,1.00,0.82,0.82,1.00,1.00,0.82,0.82,0.82,0.82",20,0.00,0.33,"Image pack, Video, Related searches"
포켓몬 성격 추천,Informational,320,"0.12,0.30,0.24,0.36,0.19,0.24,0.30,0.67,0.82,0.82,0.82,1.00",21,0.00,0.33,"Image pack, Video, Related searches"
혈액형 성격 설,Informational,320,"0.17,1.00,1.00,0.48,0.48,0.21,0.14,0.09,0.17,0.14,0.14,0.11",19,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
황소 자리 성격,Informational,320,"0.67,0.82,1.00,0.82,0.82,0.82,0.67,0.44,0.54,0.82,0.67,0.67",19,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
ab 형 남자 성격,Informational,260,"0.81,0.81,0.66,0.66,0.81,1.00,1.00,0.81,0.81,0.34,0.44,0.34",20,0.00,0.33,"Image pack, Video, People also ask, Related searches"
b 군 성격 장애,Informational,260,"0.81,0.66,0.81,0.81,1.00,0.81,0.66,0.66,0.66,0.66,0.81,1.00",10,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
esfj 성격,Informational,260,"0.67,0.54,0.54,0.54,0.67,1.00,0.67,0.44,1.00,0.82,0.67,0.44",21,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
esfp 성격,Informational,260,"0.67,0.54,0.67,0.54,0.67,1.00,0.44,0.54,1.00,1.00,0.82,0.67",25,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
o 형 여자 성격,Informational,260,"0.81,0.66,0.81,0.81,1.00,1.00,1.00,0.34,0.16,0.53,0.44,0.66",8,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
검은 고양이 성격,Informational,260,"0.54,0.54,0.67,1.00,1.00,1.00,0.67,0.44,0.36,0.54,0.82,0.44",23,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
고집 성격,Informational,260,"0.54,1.00,0.82,1.00,0.82,0.67,0.67,0.67,0.82,0.82,0.67,0.82",24,0.00,0.33,"Sitelinks, AI Overview, Image pack, Related searches"
닥스 훈트 성격,Informational,260,"0.66,0.81,0.81,1.00,0.81,0.81,0.81,0.66,0.81,0.66,1.00,1.00",17,0.40,0.01,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
명랑한 성격,Informational,260,"0.15,0.36,0.24,0.36,0.24,0.29,1.00,1.00,0.54,0.29,0.36,0.36",27,0.00,0.00,"AI Overview, People also ask, Related searches"
빅 5 검사,Informational,260,"0.81,1.00,0.81,0.81,0.81,0.66,1.00,0.53,1.00,1.00,0.81,0.66",15,0.26,0.26,"Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
사자 자리 성격,Informational,260,"0.81,0.81,1.00,0.66,0.66,0.66,0.53,0.66,0.66,0.66,0.66,0.66",20,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
성격 더러운 성씨,Informational,260,"0.24,0.24,0.24,0.30,0.16,0.19,0.24,0.24,0.36,0.55,0.55,1.00",19,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
성격 심리학,Informational,260,"0.54,0.67,0.67,0.54,0.67,0.54,0.44,0.44,1.00,0.67,0.54,0.54",26,0.00,0.17,"AI Overview, Image pack, Video, Knowledge panel, Related searches"
슈나우저 성격,Informational,260,"0.81,1.00,1.00,0.81,0.81,0.65,1.00,1.00,1.00,1.00,1.00,1.00",25,0.00,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
여우 성격,Informational,260,"1.00,1.00,0.66,0.81,0.81,1.00,0.81,0.53,0.81,0.81,0.81,1.00",27,0.00,0.33,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
연애 성격 테스트,Informational,260,"0.81,0.66,0.66,1.00,0.66,0.81,0.81,0.66,0.53,0.81,0.66,0.66",17,0.57,0.24,"Video, Related searches"
웰시코기 성격,Informational,260,"0.81,0.81,0.81,1.00,1.00,1.00,1.00,0.81,1.00,1.00,1.00,1.00",19,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
자기 소개서 성격 의 장단점,Informational,260,"0.66,0.66,1.00,0.81,1.00,0.66,1.00,0.81,1.00,0.81,0.81,0.66",10,0.09,0.01,"AI Overview, Image pack, Video, Related searches"
자기 소개서 성격 장단점 예시,Informational,260,"0.66,0.66,0.81,0.66,0.81,0.66,0.66,0.66,1.00,0.81,0.81,0.53",10,0.03,0.01,"Video, Related searches"
자기애 성 성격 장애 사례,Informational,260,"0.67,0.67,0.67,0.54,0.54,0.54,0.82,1.00,1.00,0.82,0.54,0.67",19,0.00,0.03,"AI Overview, Video, Video carousel, Related searches"
자소서 성격 의 장단점,Informational,260,"0.66,0.66,1.00,0.81,1.00,0.66,1.00,0.81,1.00,0.81,0.81,0.66",10,0.09,0.01,"Image pack, Video, Video carousel, Related searches"
자소서 성격 장단점 예시,Informational,260,"0.66,0.66,0.81,0.66,0.81,0.66,0.66,0.66,1.00,0.81,0.81,0.53",10,0.10,0.01,"AI Overview, Image pack, Video"
전룡 성격,Informational,260,"0.19,0.36,0.29,1.00,0.36,0.29,0.29,0.36,0.36,0.19,0.19,0.19",24,0.00,0.33,"AI Overview, Video, Related searches"
진돗개 성격,Informational,260,"0.54,0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.67,1.00,1.00,0.82",23,0.90,0.03,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
턱시도 고양이 성격,Informational,260,"0.81,1.00,1.00,1.00,0.81,0.81,1.00,0.81,0.66,0.66,0.81,1.00",17,0.00,0.33,"AI Overview, Image, Image pack, Video, Related searches"
팬텀 성격,Informational,260,"0.19,0.44,0.36,1.00,0.36,0.19,0.24,0.24,0.24,0.30,0.24,0.24",21,0.00,0.33,"Sitelinks, AI Overview, Video, Related searches"
포켓몬 성격 노력,Informational,260,"0.29,0.67,1.00,1.00,0.67,0.29,0.29,0.35,0.44,0.44,0.29,0.35",25,0.00,0.33,"Image pack, Video, Related searches"
피카츄 성격,Informational,260,"0.29,0.44,0.44,1.00,0.44,0.29,0.29,0.44,0.54,0.36,0.36,0.29",25,0.00,0.33,"Sitelinks, Image pack, Video, Related searches"
