Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
指揮官 mbti,Informational,40500,"0.82,1.00,0.82,0.82,0.82,0.67,0.67,0.67,0.82,0.82,1.00,1.00",29,0.47,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
提唱者 mbti,Informational,40500,"0.82,0.82,0.82,0.82,0.82,0.67,0.82,0.67,0.82,0.82,1.00,0.82",29,0.19,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
討論者 mbti,Informational,40500,"1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,1.00,1.00,1.00",29,0.50,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti とは,Informational,33100,"0.67,0.67,0.67,0.67,0.55,0.55,0.55,0.45,0.55,0.55,1.00,0.67",22,0.34,0.19,"AI Overview, Video, People also ask, Related searches"
巨匠 mbti,Informational,33100,"0.82,0.82,0.82,0.67,0.67,0.67,0.55,0.55,0.55,0.67,0.82,1.00",25,0.23,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
論理学者 mbti,Informational,33100,"1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.67,0.82,1.00,1.00,0.82",20,0.28,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
起業家 mbti,Informational,27100,"1.00,1.00,1.00,0.82,0.67,0.67,0.67,0.55,0.67,0.82,0.82,0.82",24,0.42,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
mbti エンターテイナー,Informational,22200,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.67,0.82,0.82,1.00,1.00",31,0.43,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
mbti 巨匠,Informational,18100,"1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.67,0.82,0.82,1.00,0.55",24,0.29,0.33,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
mbti 診断 相性,Informational,18100,"1.00,1.00,1.00,0.82,0.67,0.55,0.55,0.45,0.55,0.45,0.45,0.37",15,0.43,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
幹部 mbti,Informational,18100,"1.00,1.00,0.82,0.82,0.82,0.82,0.67,0.67,0.67,0.82,0.82,0.82",19,0.66,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti 意味,Informational,14800,"1.00,1.00,1.00,1.00,1.00,0.82,1.00,0.82,1.00,1.00,0.82,0.67",21,0.46,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti 運動家,Informational,14800,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.67,0.82,1.00,1.00,1.00",28,0.18,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti 割合,Informational,12100,"0.82,1.00,1.00,0.82,0.82,0.82,0.67,0.55,0.67,0.82,1.00,0.67",20,0.00,0.33,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
mbti診断 無料 安全,Informational,12100,"1.00,1.00,1.00,0.82,0.55,0.55,0.55,0.55,0.55,0.36,0.45,0.36",30,0.28,0.34,"AI Overview, Reviews, Video, People also ask, Related searches, Ads bottom"
恋愛mbti 相性,Commercial,12100,"0.00,0.00,1.00,0.67,0.24,0.24,0.16,0.11,0.13,0.13,0.16,0.11",34,0.53,0.33,"Video, People also ask, Related searches"
mbti 幹部,Informational,9900,"1.00,1.00,1.00,0.82,1.00,0.82,0.82,0.67,0.67,0.82,0.82,0.67",19,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti 相性 一覧,Informational,9900,"0.82,1.00,0.67,1.00,0.55,0.67,0.67,0.67,0.82,0.82,0.67,0.67",14,0.03,0.33,"Sitelinks, Image pack, People also ask, Related searches"
mbti診断 無料 おすすめ,Informational,9900,"0.55,1.00,1.00,0.67,0.45,0.45,0.45,0.36,0.67,0.55,0.55,0.45",30,0.29,0.44,"AI Overview, Reviews, Video, People also ask, Related searches"
mbti infp,Informational,8100,"0.82,0.82,0.82,0.82,0.67,0.67,0.67,0.55,0.82,0.82,1.00,0.82",23,0.53,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
mbti キャラ,Informational,8100,"0.82,1.00,0.82,0.82,0.67,0.67,0.67,0.55,0.55,0.55,0.67,0.55",18,0.00,0.33,"Image pack, Video, People also ask, Related searches"
mbti ランキング,Informational,8100,"1.00,1.00,1.00,0.82,0.67,0.82,0.67,0.67,0.67,0.82,0.82,0.67",19,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti 無料,Informational,8100,"0.24,0.30,0.30,0.30,0.24,0.30,0.30,0.55,0.55,0.45,1.00,0.55",31,0.34,0.53,"Reviews, Video, People also ask, Related searches"
mbti 起業 家,Informational,8100,"1.00,1.00,1.00,1.00,0.82,0.82,0.67,0.67,0.82,0.82,1.00,0.82",21,0.38,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti enfp,Informational,6600,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.67,0.81,0.81,1.00,0.81",23,0.19,0.33,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
mbti infj,Informational,6600,"0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00",22,0.49,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
mbti isfp,Informational,6600,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00",29,0.33,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
mbti 特徴,Informational,6600,"1.00,1.00,1.00,0.81,0.81,0.81,0.67,0.67,0.81,0.81,0.81,0.44",26,0.35,0.33,"Image pack, Video, People also ask, Related searches"
mbti 解説,Informational,6600,"0.82,0.82,1.00,1.00,1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00",27,0.43,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti診断 どれがいい,Informational,6600,"0.45,0.67,0.67,0.30,0.24,0.24,0.20,0.30,0.24,0.55,1.00,0.67",34,0.39,0.26,"Sitelinks, AI Overview, Video, People also ask, Related searches"
トモコレ mbti,Informational,6600,"0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.13,1.00,0.82,0.30",30,0.00,0.33,"Sitelinks, Image, Image pack, Video, Related searches"
鬼 滅 の 刃 mbti,Informational,6600,"1.00,1.00,0.45,0.20,0.13,0.11,0.11,0.09,0.09,0.09,0.09,0.07",33,0.00,0.33,"Sitelinks, Image pack, Video, Short videos, People also ask, Related searches"
mbti 日本 人 に 多い,Informational,5400,"0.82,1.00,1.00,0.36,0.07,0.09,0.09,0.07,0.06,0.07,0.06,0.07",22,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti 日本 人 割合,Informational,5400,"1.00,1.00,1.00,0.67,0.36,0.67,0.67,0.67,0.44,0.82,1.00,0.82",20,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
mbti 簡単,Informational,5400,"0.82,1.00,0.82,0.67,0.67,0.67,0.67,0.55,0.67,0.67,0.82,0.67",32,0.17,0.14,"Image pack, Video, People also ask, Related searches"
mbti intj,Informational,4400,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00",26,0.26,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
mbti intp,Informational,4400,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00",22,0.30,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
mbti isfj,Informational,4400,"0.81,1.00,1.00,0.81,0.67,0.81,0.81,0.67,0.81,1.00,1.00,0.81",18,0.04,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti アルファベット 意味,Informational,4400,"0.67,0.67,0.67,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00",31,0.00,0.33,"AI Overview, Video, Related searches"
mbti 冒険家 相性,Informational,4400,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.66,0.82,0.82,1.00,0.82",20,0.02,0.33,"Sitelinks, AI Overview, Video, People also ask"
音楽 mbti,Informational,4400,"0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,1.00,0.03,0.02,0.01",25,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
mbti enfj,Informational,3600,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.66,0.82,0.82,1.00,0.82",24,0.20,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti entp,Informational,3600,"0.82,0.82,1.00,0.82,0.66,0.82,0.82,0.66,0.66,0.82,0.82,0.82",21,0.44,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti istp,Informational,3600,"1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.66,0.82,0.82,0.82,0.82",23,0.11,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
mbti 主人公 相性,Informational,3600,"0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81",24,0.01,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti 心理 機能,Informational,3600,"1.00,1.00,0.82,0.66,0.66,0.82,0.82,0.82,0.82,0.66,0.66,0.66",17,0.62,0.33,"AI Overview, Video, Related searches"
mbti 测试,Informational,3600,"0.82,0.82,0.66,0.66,0.66,0.82,0.82,0.66,0.66,1.00,0.66,0.66",34,0.42,0.19,"Reviews, Video, People also ask, Related searches"
mbti 相性 恋愛,Informational,3600,"0.55,0.55,0.82,1.00,0.36,0.36,0.29,0.29,0.36,0.36,0.55,0.44",15,0.00,0.33,"Sitelinks, Image pack, Video, People also ask, Related searches"
mbti 簡単 診断,Informational,3600,"1.00,0.81,0.67,0.67,0.54,0.54,0.67,0.54,0.67,0.81,0.81,0.81",33,0.19,0.18,"Image pack, Video, People also ask, Related searches"
mbti 違い,Informational,3600,"0.82,0.82,0.82,0.82,0.82,0.66,0.66,0.66,0.82,0.82,1.00,0.82",16,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
treasure mbti,Informational,3600,"0.67,1.00,0.81,0.67,0.44,0.54,0.54,0.54,0.67,0.54,0.67,0.54",30,0.00,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches"
ハイキュー mbti,Informational,3600,"1.00,1.00,0.82,0.66,1.00,0.82,0.66,0.55,0.55,0.43,0.55,0.55",18,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
ワンピース mbti,Informational,3600,"1.00,1.00,0.82,0.82,1.00,0.66,0.82,0.55,0.82,0.82,0.82,0.55",29,0.00,0.33,"Featured snippet, Image, Image pack, Related searches"
mbti entj,Informational,2900,"0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.67,0.81,0.81,1.00,0.81",18,0.15,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
mbti esfp,Informational,2900,"1.00,1.00,1.00,0.81,0.81,0.81,0.67,0.67,0.67,0.81,0.81,0.81",18,0.18,0.33,"AI Overview, Video, Video carousel, People also ask, Related searches"
mbti istj,Informational,2900,"0.81,1.00,1.00,0.81,0.67,1.00,0.81,0.67,0.81,1.00,1.00,1.00",19,0.20,0.01,"Sitelinks, Video, Video carousel, People also ask, Related searches"
mbti 説明,Informational,2900,"0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.67,0.53",17,0.76,0.01,"Image pack, Video, Related searches"
主人公 mbti相性,Informational,2900,"0.66,0.66,0.66,0.66,0.66,0.55,0.55,0.55,0.66,0.55,1.00,1.00",17,0.01,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
性格診断 mbti おすすめ,Informational,2900,"0.00,0.00,0.00,0.00,0.07,0.82,0.67,0.55,0.67,1.00,1.00,0.45",27,0.12,0.30,"Video, People also ask, Related searches"
mbti e,Informational,2400,"1.00,1.00,1.00,0.83,0.66,0.66,0.66,0.55,0.66,0.83,0.83,0.83",34,0.66,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti p,Informational,2400,"1.00,1.00,1.00,0.79,0.79,0.79,0.79,0.79,0.79,1.00,1.00,1.00",34,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti 割合 日本,Informational,2400,"0.81,1.00,1.00,0.81,0.53,0.67,0.67,0.53,0.44,0.53,0.81,0.67",19,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
mbti 動物,Informational,2400,"0.29,0.20,1.00,0.44,0.24,0.29,0.29,0.20,0.20,0.29,0.29,0.29",22,0.49,0.01,"Image pack, Video, People also ask, Related searches"
エニアグラム mbti,Informational,2400,"1.00,0.83,0.66,0.66,0.66,1.00,0.55,0.66,0.55,0.55,0.55,0.55",24,0.41,0.04,"Sitelinks, AI Overview, People also ask, Related searches"
ハンター ハンター mbti,Informational,2400,"1.00,1.00,0.83,0.83,0.83,0.83,0.83,0.66,0.66,0.55,0.83,0.83",25,0.00,0.33,"Video, People also ask, Related searches"
ヒロアカ mbti,Informational,2400,"0.55,0.66,0.43,0.66,0.66,1.00,0.55,0.43,0.36,0.43,0.55,0.36",24,0.00,0.33,"Sitelinks, Image pack, Video, Related searches"
主人公 mbti 相性,Informational,2400,"0.67,0.67,0.67,0.67,0.67,0.53,0.53,0.53,0.67,0.53,1.00,0.81",16,0.01,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
仲介者 mbti 相性,Informational,2400,"1.00,1.00,1.00,1.00,0.83,0.66,0.66,0.45,0.55,0.55,0.66,0.55",25,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
建築家 mbti 相性,Informational,2400,"1.00,1.00,1.00,0.81,0.53,0.53,0.36,0.36,0.53,0.53,0.53,0.53",17,0.01,0.01,"Sitelinks, AI Overview, Video, People also ask"
運動家 mbti 相性,Informational,2400,"1.00,0.83,1.00,0.83,0.83,0.66,0.66,0.55,0.66,0.66,0.83,0.66",16,0.01,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
領事館 mbti 相性,Informational,2400,"1.00,1.00,1.00,1.00,1.00,0.79,0.79,0.79,0.79,1.00,1.00,0.79",16,0.00,0.33,"Sitelinks, Image pack, Video, People also ask, Related searches"
mbti estj,Informational,1900,"1.00,0.79,1.00,0.79,0.67,1.00,0.79,0.67,0.79,0.79,0.79,0.67",27,0.16,0.01,"Image pack, Video, People also ask, Related searches"
mbti estp,Informational,1900,"1.00,1.00,1.00,0.79,0.79,0.79,0.79,0.67,0.79,0.79,0.79,0.79",18,0.19,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti i,Informational,1900,"1.00,1.00,1.00,0.79,0.67,0.67,0.67,0.67,0.67,0.79,0.79,0.79",30,0.68,0.01,"AI Overview, Video, People also ask, Related searches"
mbti エンターテイナー 相性,Informational,1900,"1.00,1.00,1.00,1.00,1.00,0.84,0.84,0.84,0.84,0.84,1.00,1.00",16,0.01,0.01,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
mbti 変わる,Informational,1900,"1.00,1.00,1.00,0.79,0.67,0.79,0.79,0.67,0.67,0.79,0.79,0.67",33,0.52,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti 建築家 相性,Commercial,1900,"1.00,1.00,0.79,0.79,0.67,0.67,0.67,0.54,0.67,0.67,0.79,0.79",18,0.01,0.01,"Sitelinks, Video, People also ask, Related searches"
mbti 運動家 相性,Informational,1900,"1.00,0.83,0.83,0.83,0.66,0.66,0.66,0.55,0.55,0.66,0.83,0.55",17,0.01,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
mbti診断 提唱者,Informational,1900,"0.81,1.00,0.81,0.81,0.67,0.53,0.53,0.44,0.53,0.67,0.67,0.67",20,0.17,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
twice mbti,Informational,1900,"0.83,0.66,0.83,0.83,1.00,0.83,0.55,0.55,0.34,0.34,0.25,0.45",25,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
エンターテイナー mbti 相性,Informational,1900,"0.79,0.79,0.79,1.00,1.00,0.79,0.79,0.67,0.79,0.67,0.79,0.79",16,0.01,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
冒険家 mbti 恋愛,Informational,1900,"0.79,1.00,1.00,0.79,0.67,0.67,0.67,0.42,0.54,0.67,0.79,0.16",15,0.19,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
冒険家 mbti 相性,Informational,1900,"1.00,1.00,1.00,1.00,0.84,0.84,0.68,0.68,0.84,0.84,1.00,1.00",19,0.02,0.33,"Sitelinks, AI Overview, Video, People also ask"
提唱者 mbti 相性,Informational,1900,"1.00,0.79,0.79,0.79,0.79,0.67,0.67,0.54,0.67,0.67,0.67,0.54",16,0.01,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
擁護者 mbti 相性,Informational,1900,"0.79,1.00,1.00,0.79,0.79,0.67,0.67,0.54,0.67,0.67,0.79,0.79",16,0.01,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
bts mbti,Informational,1600,"0.66,0.66,1.00,0.66,0.66,0.45,0.34,0.34,0.34,0.34,0.34,0.55",21,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
ini mbti,Informational,1600,"1.00,0.84,0.68,0.68,0.84,0.68,0.68,0.46,0.68,0.84,0.68,0.84",27,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
ive mbti,Informational,1600,"0.68,0.68,0.84,0.68,0.84,0.84,0.84,0.84,0.68,0.68,0.53,1.00",24,0.00,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches"
mbti 提唱者 相性,Commercial,1600,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81",16,0.01,0.01,"Sitelinks, Video, People also ask, Related searches"
mbti 相性 診断,Informational,1600,"0.79,1.00,0.79,0.54,0.42,0.54,0.54,0.54,0.67,0.67,0.79,0.67",16,0.43,0.01,"Sitelinks, Image pack, Video, People also ask, Related searches"
mbti 芸術 家,Informational,1600,"1.00,0.84,0.84,0.84,0.68,0.68,0.68,0.53,0.68,0.84,0.68,0.68",26,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
mbti簡単,Informational,1600,"0.84,1.00,0.84,0.68,0.68,0.68,0.68,0.53,0.53,0.53,0.68,0.53",25,0.09,0.09,"Video, People also ask, Related searches"
mbti診断 エンターテイナー,Informational,1600,"1.00,1.00,0.79,0.79,0.67,0.54,0.42,0.42,0.42,0.54,0.54,0.42",25,0.26,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
ひろゆき mbti,Informational,1600,"0.67,0.67,0.67,0.54,0.42,0.54,0.54,0.67,0.67,0.79,1.00,0.79",33,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Related searches"
キャラ mbti,Informational,1600,"0.67,1.00,0.79,0.67,0.54,0.67,0.67,0.54,0.54,0.67,0.67,0.42",17,0.00,0.33,"Image pack, Video, People also ask, Related searches"
キャラクター mbti,Informational,1600,"0.67,1.00,0.79,0.67,0.54,0.67,0.67,0.54,0.54,0.67,0.67,0.42",17,0.00,0.33,"Image, Image pack, Video, People also ask, Related searches"
コナン mbti,Informational,1600,"0.44,0.36,0.28,0.24,0.24,0.24,0.36,0.20,0.36,1.00,0.81,0.36",21,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
ジョジョ mbti,Informational,1600,"0.68,0.68,0.68,0.84,0.84,0.68,0.84,0.84,1.00,1.00,0.84,0.53",17,0.00,0.33,"Image, Image pack, Video, Short videos, People also ask, Related searches"
動物 mbti,Informational,1600,"0.05,0.06,1.00,0.23,0.12,0.16,0.12,0.09,0.09,0.11,0.11,0.16",31,0.56,0.01,"Image pack, Video, People also ask"
銀魂 mbti,Informational,1600,"0.54,0.67,0.54,0.79,0.67,0.67,0.67,1.00,1.00,0.79,0.67,0.54",17,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
enfp mbti,Informational,1300,"1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.62,0.81,0.81,0.81,0.81",20,0.27,0.33,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
infj mbti,Informational,1300,"0.68,1.00,0.84,0.84,0.68,0.68,0.68,0.53,0.68,0.68,0.84,0.68",17,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
infp mbti,Informational,1300,"0.81,0.81,0.81,1.00,0.81,1.00,1.00,0.62,0.81,1.00,1.00,1.00",23,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
isfp mbti,Informational,1300,"1.00,1.00,1.00,0.77,0.77,0.77,0.77,0.77,0.77,0.77,1.00,0.77",22,0.35,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti ワンピース,Informational,1300,"1.00,1.00,1.00,0.81,0.81,0.62,0.62,0.55,0.55,0.55,0.55,0.45",19,0.00,0.33,"Sitelinks, Image, Image pack, Related searches"
mbti 仲介者 相性,Informational,1300,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81",21,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti 指揮官 相性,Informational,1300,"1.00,1.00,1.00,1.00,0.77,0.77,0.68,0.68,0.77,0.77,1.00,0.77",16,0.01,0.01,"Sitelinks, Video, Video carousel, People also ask, Related searches"
mbti 比率,Informational,1300,"0.81,1.00,0.81,0.81,0.62,0.81,0.62,0.62,0.62,0.81,0.81,0.62",22,0.00,0.33,"Sitelinks, Image pack, People also ask, Related searches"
mbti 発達 障害,Informational,1300,"0.16,0.13,0.11,0.13,1.00,0.35,0.30,0.16,0.13,0.13,0.11,0.09",24,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti 簡易診断,Commercial,1300,"1.00,1.00,1.00,0.81,0.62,0.62,0.81,0.62,0.62,0.81,0.81,0.81",33,0.25,0.18,"Reviews, Video, People also ask, Related searches"
mbti 診断 infj,Informational,1300,"1.00,1.00,1.00,0.81,0.62,0.62,0.62,0.55,0.62,0.62,0.81,0.62",27,0.31,0.03,"AI Overview, Image pack, People also ask, Related searches"
mbti 診断 infp,Informational,1300,"0.84,1.00,0.84,0.84,0.68,0.53,0.46,0.38,0.46,0.46,0.53,0.53",28,0.43,0.03,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
mbti 質問,Informational,1300,"1.00,1.00,1.00,0.81,0.81,0.81,0.62,0.55,0.81,0.81,0.81,0.81",21,0.44,0.01,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
mbti意味,Informational,1300,"0.81,0.81,0.81,0.81,0.81,0.81,0.62,0.81,0.62,0.81,0.81,1.00",19,0.46,0.33,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
クレヨン しんちゃん mbti,Informational,1300,"0.84,1.00,0.84,0.53,0.53,0.68,0.53,0.53,0.53,0.53,0.68,0.38",30,0.00,0.01,"Sitelinks, Image pack, Video, People also ask, Related searches"
ジブリ mbti,Informational,1300,"0.67,1.00,0.54,0.54,0.67,0.37,0.54,0.37,0.30,0.37,0.67,0.37",33,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
スキズ mbti,Informational,1300,"0.84,0.68,1.00,0.84,0.84,0.84,0.68,0.53,0.46,0.53,0.53,0.46",27,0.00,0.33,"Sitelinks, Image pack, Video, Video carousel, People also ask"
ナルト mbti,Informational,1300,"0.81,0.81,0.81,0.62,0.62,0.81,1.00,0.81,0.62,0.81,0.81,0.81",13,0.00,0.33,"Image pack, Video, People also ask, Related searches"
ハリー ポッター mbti,Informational,1300,"0.81,1.00,0.81,0.81,1.00,1.00,0.81,0.62,0.62,0.81,0.81,0.81",32,0.00,0.33,"Image pack, Video, People also ask, Related searches"
巨匠 mbti 相性,Informational,1300,"1.00,0.84,0.84,0.84,0.53,0.68,0.68,0.53,0.68,0.68,0.84,0.84",16,0.01,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
相性 mbti,Informational,1300,"1.00,1.00,1.00,0.68,0.68,0.53,0.53,0.46,0.53,0.46,0.53,0.46",14,0.38,0.01,"Sitelinks, Image pack, Video, People also ask, Related searches"
intp mbti,Informational,1000,"1.00,1.00,1.00,1.00,0.77,0.77,0.68,0.55,0.68,0.68,0.77,0.68",25,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
