Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
性格 占い,Commercial,6600,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82",26,0.06,0.16,"Video, Related searches"
性格 診断 動物,Commercial,6600,"0.13,0.13,1.00,0.20,0.13,0.20,0.20,0.11,0.11,0.11,0.13,0.13",22,0.56,0.01,"Video, Related searches"
big 5,Informational,5400,"0.82,0.82,1.00,0.82,0.82,0.82,0.82,0.67,0.82,0.82,1.00,0.67",28,0.29,0.15,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Knowledge panel, Related searches"
mbti 簡単,Informational,5400,"0.82,1.00,0.82,0.67,0.67,0.67,0.67,0.55,0.67,0.67,0.82,0.67",32,0.17,0.14,"Image pack, Video, People also ask, Related searches"
心理 テスト 当たる,Informational,5400,"0.44,0.55,0.55,1.00,0.55,0.44,0.55,0.44,0.44,0.44,0.36,0.36",22,0.38,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
性格 の 悪さ 診断,Informational,5400,"0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.20",15,0.06,0.08,"AI Overview, Video, Related searches"
性格 悪さ 診断,Commercial,5400,"0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.20",16,0.06,0.08,"Video, Related searches"
診断 テスト 恋愛 無料,Commercial,5400,"0.00,0.00,1.00,0.09,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.00",32,0.27,0.05,"Reviews, Video, Related searches"
診断 テスト 無料 恋愛,Commercial,5400,"0.00,0.00,1.00,0.09,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.00",34,0.27,0.05,"Video, Related searches"
mbti アルファベット 意味,Informational,4400,"0.67,0.67,0.67,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00",31,0.00,0.33,"AI Overview, Video, Related searches"
あいえすてぃーじぇー,Informational,4400,"0.67,0.67,0.67,0.55,0.44,1.00,0.55,0.44,0.55,0.55,0.67,0.67",27,0.38,0.33,"AI Overview, Video, People also ask, Related searches"
mbti 测试,Informational,3600,"0.82,0.82,0.66,0.66,0.66,0.82,0.82,0.66,0.66,1.00,0.66,0.66",34,0.42,0.19,"Reviews, Video, People also ask, Related searches"
mbti 簡単 診断,Informational,3600,"1.00,0.81,0.67,0.67,0.54,0.54,0.67,0.54,0.67,0.81,0.81,0.81",33,0.19,0.18,"Image pack, Video, People also ask, Related searches"
mbti 違い,Informational,3600,"0.82,0.82,0.82,0.82,0.82,0.66,0.66,0.66,0.82,0.82,1.00,0.82",16,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
性格 悪い 診断,Informational,3600,"0.35,0.67,0.67,0.81,1.00,0.81,0.67,0.67,0.67,0.67,0.54,0.16",17,0.14,0.03,"Video, Related searches"
性格 種類,Informational,3600,"0.82,0.82,0.82,1.00,0.82,0.66,0.82,0.82,0.82,1.00,0.82,0.82",31,0.75,0.33,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches"
性格の悪さ診断,Commercial,3600,"0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.20",16,0.06,0.08,"Video, Related searches"
mbti 説明,Informational,2900,"0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.67,0.53",17,0.76,0.01,"Image pack, Video, Related searches"
トモコレ 性格 診断,Informational,2900,"0.11,0.11,0.13,0.09,0.07,0.05,0.13,0.13,0.20,1.00,0.45,0.20",28,0.00,0.33,"Sitelinks, Image pack, Video, Related searches"
性格 と は,Informational,2900,"0.66,0.55,0.66,0.66,0.55,0.66,0.82,0.66,0.66,1.00,0.66,0.66",24,0.12,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
性格の悪さテスト,Informational,2900,"0.02,0.00,0.00,0.00,0.01,0.20,0.36,0.03,0.01,0.01,0.01,1.00",19,0.07,0.00,"Video, People also ask, Related searches"
性格診断 mbti おすすめ,Informational,2900,"0.00,0.00,0.00,0.00,0.07,0.82,0.67,0.55,0.67,1.00,1.00,0.45",27,0.12,0.30,"Video, People also ask, Related searches"
自分 の 性格,Informational,2900,"0.54,0.44,0.54,0.54,0.44,0.44,0.54,0.44,0.44,1.00,0.54,0.44",33,0.32,0.16,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti p,Informational,2400,"1.00,1.00,1.00,0.79,0.79,0.79,0.79,0.79,0.79,1.00,1.00,1.00",34,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ビック ファイブ 診断,Commercial,2400,"1.00,0.67,0.67,0.67,0.53,0.44,0.53,0.44,0.81,0.53,0.53,0.36",15,0.35,0.30,"Reviews, Video, Related searches"
占い 面白い,Informational,2400,"0.83,0.66,1.00,1.00,0.83,0.83,0.83,0.66,0.66,0.55,0.66,0.83",22,0.19,0.02,"Video, Related searches"
性格 検査,Informational,2400,"0.67,0.53,1.00,0.67,0.53,0.44,0.53,0.44,0.53,0.81,0.67,0.81",28,0.81,0.30,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Ads top, Ads bottom"
性格 診断 infp,Informational,2400,"0.81,1.00,0.81,0.67,0.53,0.53,0.53,0.53,0.67,0.81,0.81,0.67",33,0.35,0.29,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Ads bottom, Ads middle"
性格 診断 流行り,Informational,2400,"0.00,0.01,1.00,0.05,0.05,0.09,0.06,0.03,0.03,0.02,0.03,0.02",30,0.33,0.09,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
辛口 性格 診断,Informational,2400,"0.83,0.83,1.00,0.83,1.00,0.66,0.55,0.83,0.66,0.55,1.00,0.83",14,0.36,0.02,"Image pack, Video, Related searches"
面白い ほど 当たる 性格 診断,Informational,2400,"0.66,0.83,1.00,0.83,0.66,0.83,0.83,0.66,0.83,0.55,1.00,0.66",20,0.09,0.10,"Sitelinks, Video, People also ask, Related searches"
mbti i,Informational,1900,"1.00,1.00,1.00,0.79,0.67,0.67,0.67,0.67,0.67,0.79,0.79,0.79",30,0.68,0.01,"AI Overview, Video, People also ask, Related searches"
mvpi,Commercial,1900,"0.79,0.79,0.79,1.00,0.79,0.79,0.79,0.67,0.79,0.79,1.00,0.79",21,0.15,0.26,"Video, People also ask, Related searches, Ads top, Ads bottom"
nl 診断,Informational,1900,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.84,0.84,1.00",17,0.00,0.33,"People also ask, Related searches"
トライ タイプ,Informational,1900,"1.00,1.00,0.84,1.00,1.00,0.84,1.00,0.68,1.00,0.84,0.84,0.68",8,0.46,0.02,"Sitelinks, Image pack, Related searches"
動物 診断 性格,Informational,1900,"0.55,0.55,1.00,0.66,0.45,0.83,0.83,0.66,0.55,0.83,0.66,0.66",30,0.56,0.01,"Video, Related searches, Ads top, Ads bottom"
名前 性格 診断,Informational,1900,"1.00,0.79,0.79,1.00,0.79,0.79,0.67,0.67,0.67,0.67,0.79,0.67",22,0.18,0.01,"Sitelinks, Video, Related searches"
名前 診断 性格,Informational,1900,"1.00,0.79,0.79,1.00,0.79,0.79,0.67,0.67,0.67,0.67,0.79,0.67",25,0.22,0.01,"Sitelinks, Video, People also ask, Related searches"
基本 性格,Informational,1900,"0.00,0.00,1.00,0.09,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00",33,0.00,0.04,"AI Overview, Video, People also ask, Related searches"
夜 の 性格 診断,Informational,1900,"0.04,0.02,0.02,0.11,0.20,0.82,0.82,0.66,0.55,0.55,1.00,0.82",28,0.47,0.33,"Image pack, Video, People also ask, Related searches"
性格 診断 生年 月 日,Informational,1900,"1.00,0.66,0.83,1.00,0.55,0.66,0.55,0.45,0.55,0.45,0.55,0.45",24,0.04,0.16,"Sitelinks, Reviews, Video, People also ask, Related searches"
性格 診断 相性,Informational,1900,"0.79,1.00,1.00,0.79,0.67,0.54,0.67,0.54,0.54,0.54,0.67,0.42",13,0.29,0.02,"Sitelinks, Image pack, Video, People also ask, Related searches"
深層 心理 テスト,Informational,1900,"0.79,0.79,0.67,0.79,1.00,0.79,0.79,0.67,0.67,0.67,0.67,0.67",18,0.02,0.10,"Reviews, Video, People also ask, Related searches"
自分 診断,Informational,1900,"0.66,0.66,1.00,0.66,0.66,0.66,0.83,0.66,0.66,0.55,0.66,0.55",33,0.22,0.37,"Reviews, Video, People also ask, Related searches"
診断 メーカー 人気,Navigational,1900,"0.54,0.67,0.79,0.79,0.79,1.00,1.00,0.79,0.79,0.67,0.79,0.54",28,0.29,0.02,Related searches
診断 メーカー 性格,Navigational,1900,"0.83,0.83,0.83,0.83,0.55,0.55,0.66,0.66,0.66,0.66,1.00,1.00",25,0.08,0.06,"Video, People also ask, Related searches"
診断 流行り,Informational,1900,"0.04,0.09,1.00,0.44,0.35,0.44,0.44,0.35,0.30,0.30,0.67,0.81",27,0.25,0.06,"AI Overview, Video, People also ask, Related searches"
big five,Informational,1600,"0.67,0.54,0.67,0.79,0.79,0.79,0.79,0.54,0.54,0.79,1.00,1.00",30,0.58,0.20,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Knowledge panel, Related searches"
mbti 相性 診断,Informational,1600,"0.79,1.00,0.79,0.54,0.42,0.54,0.54,0.54,0.67,0.67,0.79,0.67",16,0.43,0.01,"Sitelinks, Image pack, Video, People also ask, Related searches"
mbti簡単,Informational,1600,"0.84,1.00,0.84,0.68,0.68,0.68,0.68,0.53,0.53,0.53,0.68,0.53",25,0.09,0.09,"Video, People also ask, Related searches"
キャラクター 性格 診断,Informational,1600,"0.54,0.67,1.00,0.67,0.54,0.54,0.67,0.54,0.42,0.54,0.54,0.54",27,0.00,0.01,"Image pack, Video, Related searches"
ビッグ 5,Informational,1600,"0.84,0.84,1.00,0.84,0.84,0.84,0.84,0.53,0.53,0.68,0.84,0.68",32,0.36,0.16,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Related searches"
性格 キャラ 診断,Informational,1600,"0.54,0.67,1.00,0.67,0.54,0.54,0.67,0.54,0.42,0.54,0.54,0.54",27,0.00,0.01,"Video, People also ask, Related searches"
辛口 性格 診断 生年 月 日,Informational,1600,"1.00,1.00,1.00,0.84,0.84,0.53,0.53,0.46,0.46,0.46,0.46,0.38",12,0.04,0.13,Related searches
長所 診断,Informational,1600,"0.67,0.42,1.00,1.00,1.00,0.79,0.79,0.54,0.42,0.54,0.37,0.37",28,0.36,0.39,"Video, Related searches, Ads top, Ads bottom"
imtp,Informational,1300,"1.00,1.00,1.00,0.77,1.00,0.77,0.77,0.77,0.77,0.77,1.00,0.77",28,0.68,0.04,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti 簡易診断,Commercial,1300,"1.00,1.00,1.00,0.81,0.62,0.62,0.81,0.62,0.62,0.81,0.81,0.81",33,0.25,0.18,"Reviews, Video, People also ask, Related searches"
mbti 質問,Informational,1300,"1.00,1.00,1.00,0.81,0.81,0.81,0.62,0.55,0.81,0.81,0.81,0.81",21,0.44,0.01,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
mypersonality,Commercial,1300,"0.62,1.00,1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.62",25,0.27,0.21,"Sitelinks, People also ask, Related searches"
トライ タイプ 診断,Informational,1300,"1.00,1.00,0.81,0.81,1.00,0.81,0.81,0.62,0.62,0.62,0.55,0.45",9,0.22,0.06,"Sitelinks, Image pack, Video, Related searches"
ドラクエ 3 性格 診断,Informational,1300,"0.68,1.00,0.84,0.84,1.00,0.84,0.68,0.68,0.46,0.38,0.53,0.68",22,0.00,0.33,"Sitelinks, Image, Video, Video carousel, Related searches"
マイパーソナリティ,Informational,1300,"0.37,1.00,1.00,0.67,0.67,0.67,0.42,0.42,0.42,0.42,0.42,0.37",22,0.27,0.28,"Sitelinks, Video, People also ask, Related searches"
就活 性格 診断,Informational,1300,"0.81,0.62,0.81,0.81,0.55,0.55,0.62,1.00,0.81,1.00,0.81,1.00",22,1.24,0.60,"Sitelinks, AI Overview, Video, People also ask, Related searches"
怖い ほど 当たる 性格 診断,Informational,1300,"0.66,1.00,1.00,0.66,0.11,0.09,0.11,0.17,0.09,0.13,0.17,0.20",16,0.13,0.17,"Image pack, Video, People also ask, Related searches"
性格 診断 ハニホー,Navigational,1300,"1.00,0.81,0.81,1.00,1.00,0.81,0.55,0.37,0.37,0.45,0.62,0.55",22,0.00,0.01,"Sitelinks, People also ask, Related searches"
性格 診断 冒険 家,Informational,1300,"0.81,0.81,0.81,0.62,0.55,0.55,0.62,0.55,0.81,0.81,1.00,0.81",27,0.37,0.04,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
性格 診断 就活,Informational,1300,"0.81,0.62,0.81,0.81,0.55,0.55,0.62,1.00,0.81,1.00,0.81,1.00",15,1.24,0.60,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
性格 診断 辛口,Informational,1300,"1.00,1.00,1.00,0.68,0.84,0.68,0.53,0.46,0.38,0.46,0.53,0.46",16,0.18,0.01,"Image pack, Video, People also ask, Related searches"
性格 診断 適性 検査,Informational,1300,"0.84,0.68,1.00,0.68,0.53,0.53,0.53,0.68,0.84,0.84,0.84,0.84",23,1.00,0.47,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
性格 診断 面白い,Informational,1300,"0.53,0.68,0.84,0.68,0.53,0.68,0.53,0.53,0.68,0.53,1.00,1.00",23,0.21,0.03,"Video, Related searches"
性格 適性 検査,Informational,1300,"1.00,0.81,1.00,0.81,0.62,0.55,0.62,0.62,1.00,0.81,0.81,1.00",20,1.16,0.42,"Sitelinks, Video, People also ask, Related searches, Ads top, Ads middle"
色々 診断,Informational,1300,"0.62,0.62,0.62,1.00,0.81,1.00,1.00,0.81,0.81,0.62,0.81,0.81",33,0.26,0.05,"Video, Related searches"
適性 検査 性格 診断,Informational,1300,"0.84,0.68,1.00,0.68,0.53,0.53,0.53,0.68,0.84,0.84,0.84,0.84",19,1.00,0.47,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom"
面白い 性格 診断,Informational,1300,"0.53,0.68,0.84,0.68,0.53,0.68,0.53,0.53,0.68,0.53,1.00,1.00",22,0.21,0.03,"Sitelinks, AI Overview, Video, Related searches"
big5 診断,Informational,1000,"0.53,0.46,0.53,0.84,0.68,0.53,0.46,0.46,0.53,0.53,1.00,0.68",22,0.29,0.48,"Image pack, Video, People also ask, Related searches, Ads top, Ads bottom"
isfp 診断,Informational,1000,"0.77,1.00,1.00,0.77,0.68,0.77,0.77,0.77,0.77,0.77,1.00,0.77",33,0.19,0.41,"Image pack, Video, Video carousel, People also ask, Related searches"
mbti a,Informational,1000,"1.00,1.00,1.00,0.77,0.77,0.77,0.77,0.68,0.77,1.00,1.00,0.77",32,0.54,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
mbti wiki,Informational,1000,"0.45,0.45,0.45,0.55,0.62,0.62,0.62,1.00,0.81,0.62,0.62,0.55",27,0.00,0.00,"People also ask, Related searches"
mbti 診断 割合,Informational,1000,"1.00,1.00,1.00,1.00,0.68,0.68,0.68,0.55,0.55,0.55,0.68,0.55",18,0.00,0.33,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
mbti 診断 無料,Informational,1000,"0.55,0.81,0.55,0.62,0.55,0.55,1.00,0.81,1.00,0.62,0.55,0.55",30,0.14,0.33,"Video, People also ask, Related searches, Ads top, Ads middle"
オーラ 別 性格 診断,Informational,1000,"0.62,0.62,0.62,0.62,0.62,0.81,0.62,0.45,0.62,0.62,1.00,1.00",29,0.57,0.33,"Sitelinks, Image pack, Video, Related searches"
ディグラム 性格 診断,Navigational,1000,"0.01,0.01,0.01,0.00,0.00,0.00,0.00,1.00,0.16,0.06,0.05,0.03",23,0.41,0.22,"Sitelinks, Reviews, Video, People also ask, Related searches"
ビッグ ファイブ 診断 無料,Informational,1000,"0.68,0.77,0.77,1.00,0.77,0.55,0.77,0.68,1.00,0.68,1.00,0.68",22,0.25,0.49,Related searches
人間 嫌い 診断,Informational,1000,"0.62,0.81,0.62,0.55,0.45,0.55,0.37,1.00,0.62,0.55,0.55,0.55",22,0.18,0.02,Related searches
当たる 診断,Informational,1000,"0.25,0.25,0.42,0.67,0.54,0.67,0.67,0.67,0.67,0.54,1.00,1.00",29,0.16,0.13,"Video, Related searches"
心理 テスト 性格 4 択,Informational,1000,"0.77,1.00,1.00,1.00,0.68,0.68,0.68,0.68,0.55,0.55,0.68,0.55",20,0.00,0.33,"Sitelinks, Video, Related searches"
心理 テスト 深層 心理,Informational,1000,"1.00,0.77,0.77,0.77,0.77,0.68,0.55,0.68,0.68,0.68,0.68,0.55",21,0.33,0.03,"AI Overview, Reviews, Video, People also ask, Related searches"
心理 テスト 簡単,Informational,1000,"0.77,0.77,1.00,1.00,0.77,0.68,0.68,0.68,0.68,0.55,0.68,0.68",19,0.34,0.01,"Sitelinks, Video, Video carousel, Related searches"
心理 診断,Informational,1000,"0.77,0.77,1.00,1.00,1.00,1.00,1.00,1.00,0.77,0.68,0.77,1.00",30,0.28,0.07,"Video, Video carousel, Related searches"
心理テスト性格の悪さ,Informational,1000,"1.00,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77",17,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
性格 診断 建築 家,Informational,1000,"1.00,1.00,0.88,0.88,0.88,0.88,0.88,0.72,0.88,0.88,0.88,0.88",22,0.48,0.02,"Featured snippet, Sitelinks, Video, Video carousel, People also ask, Related searches"
簡単mbti診断,Informational,1000,"1.00,1.00,0.77,0.77,0.55,0.55,0.55,0.55,0.55,0.68,0.77,0.68",28,0.10,0.20,"Video, People also ask, Related searches"
自分 が 本当に したい こと を 知る 診断,Informational,1000,"0.77,1.00,1.00,0.77,0.77,0.68,0.68,0.68,0.55,0.55,0.45,0.37",24,0.49,0.60,"Sitelinks, AI Overview, Video, People also ask, Related searches"
自己 中 診断,Informational,1000,"0.62,0.62,0.81,1.00,0.81,0.81,0.81,0.62,0.62,0.55,0.62,0.62",19,0.13,0.06,"Video, People also ask, Related searches"
診断 テスト 大人 向け,Informational,1000,"0.55,0.55,0.62,0.81,1.00,0.81,0.62,0.55,0.55,0.45,0.62,0.55",26,0.13,0.02,"Sitelinks, Video, People also ask, Related searches"
診断 人気,Informational,1000,"0.55,0.55,0.77,1.00,0.77,0.77,0.77,0.77,0.68,0.55,1.00,1.00",27,0.26,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
診断 当たる,Informational,1000,"0.25,0.25,0.42,0.67,0.54,0.67,0.67,0.67,0.67,0.54,1.00,0.67",26,0.16,0.13,"Video, People also ask, Related searches"
診断 能力,Informational,1000,"0.53,1.00,0.68,0.68,0.68,0.68,0.53,0.46,0.46,0.46,0.46,0.46",17,0.37,0.07,"Video, Related searches"
imbt,Informational,880,"1.00,1.00,0.88,0.88,0.88,0.88,0.88,0.72,0.88,0.88,1.00,0.88",19,0.56,0.09,"Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches"
mbti わかりやすく,Informational,880,"0.45,0.45,0.55,0.55,0.68,0.77,0.77,0.77,0.68,0.77,1.00,0.77",25,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
spi 性格 検査 無料,Informational,880,"0.88,0.88,1.00,1.00,0.88,0.72,0.72,0.72,1.00,1.00,0.88,0.88",19,0.80,0.58,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ジョジョ 性格 診断,Informational,880,"0.20,0.13,0.06,0.07,0.20,1.00,0.55,0.25,0.66,0.34,0.25,0.13",13,0.00,0.33,"Sitelinks, Reviews, Video, People also ask, Related searches"
ビッグファイブ理論,Informational,880,"0.67,0.42,0.42,0.54,0.42,0.37,0.42,0.30,0.25,0.37,1.00,0.54",27,0.39,0.16,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ポケモン 性格 診断,Informational,880,"0.72,0.88,1.00,0.88,1.00,0.72,0.59,0.72,0.88,1.00,1.00,0.59",15,0.00,0.33,"Video, Video carousel, Related searches"
メンタル 強 さ 診断,Informational,880,"0.88,0.88,1.00,1.00,0.88,1.00,0.72,0.88,1.00,0.88,0.72,0.88",14,0.00,0.01,"Video, People also ask, Related searches"
人 嫌い 診断,Informational,880,"0.59,0.59,0.72,0.88,1.00,0.72,0.88,1.00,1.00,0.88,1.00,0.88",21,0.15,0.03,"Video, People also ask, Related searches"
勉強 法 診断,Informational,880,"0.72,0.88,1.00,1.00,1.00,0.88,0.72,0.72,0.59,0.39,0.48,0.48",21,0.33,0.30,"Sitelinks, Video, People also ask, Related searches"
念 能力 性格 診断,Informational,880,"0.25,0.25,0.30,0.30,0.37,0.37,0.37,0.25,0.42,0.37,0.79,1.00",15,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
思想 診断,Informational,880,"1.00,0.68,0.68,1.00,0.68,0.55,0.68,0.68,0.68,0.55,0.68,0.55",25,0.00,0.33,Related searches
性格 占い 無料,Informational,880,"0.72,0.88,0.88,0.72,0.88,1.00,0.88,0.72,1.00,0.88,1.00,0.88",16,0.07,0.19,"Sitelinks, Video, Related searches"
性格 心理 テスト,Informational,880,"1.00,0.82,0.82,1.00,0.82,0.82,1.00,0.82,1.00,1.00,1.00,1.00",34,0.10,0.02,"Sitelinks, Video, People also ask, Related searches"
性格 診断 誕生 日,Informational,880,"0.72,0.72,0.72,0.72,0.72,0.88,1.00,0.88,0.88,0.88,0.88,0.88",26,0.05,0.08,"Sitelinks, Reviews, Video, Related searches"
自分 を 知る 方法,Informational,880,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.67,0.82,1.00,0.82",22,0.44,0.36,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
診断 一覧,Informational,880,"0.68,0.55,0.68,0.68,0.68,0.68,0.68,0.68,0.77,0.45,1.00,0.77",25,0.31,0.02,"AI Overview, Video, People also ask, Related searches"
誕生 日 性格 診断,Informational,880,"0.72,0.72,0.72,0.72,0.72,0.88,1.00,0.88,0.88,0.88,0.88,0.88",27,0.05,0.08,"Sitelinks, Reviews, Image, Video, Related searches"
