Keyword,Intent,Relevance,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
capricorn and aquarius compatibility,Informational,46,6600,"0.55,0.67,0.67,1.00,0.82,1.00,0.82,1.00,1.00,0.55,0.55,0.67",25,0.02,0.03,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
capricorn and leo compatibility,Informational,47,6600,"0.67,0.54,0.54,0.67,0.44,1.00,0.81,0.67,0.67,0.35,0.81,0.44",28,0.13,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
gemini and leo compatibility,Informational,46,6600,"0.82,0.66,0.66,0.66,0.66,0.82,0.66,0.55,0.82,0.82,1.00,0.66",17,0.03,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
gemini and sagittarius compatibility,Informational,43,6600,"0.82,1.00,0.55,0.55,0.55,0.55,0.67,0.67,0.44,0.55,0.55,0.67",25,0.02,0.03,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
gemini and scorpio compatibility,Informational,47,6600,"1.00,1.00,1.00,0.81,0.67,1.00,1.00,0.81,0.67,0.67,0.67,0.81",25,0.08,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
gemini and virgo compatibility,Informational,44,6600,"0.82,1.00,1.00,1.00,1.00,1.00,0.66,0.82,1.00,0.66,0.82,0.82",34,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
july 12 zodiac,Informational,36,6600,"0.44,0.54,1.00,0.54,0.36,0.44,0.44,0.54,0.54,0.44,0.44,0.67",32,0.00,0.33,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
leo and gemini compatibility,Informational,44,6600,"0.82,1.00,0.67,0.67,0.55,0.55,0.82,0.67,0.67,0.55,0.82,0.82",20,0.03,0.02,"AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
pisces and taurus compatibility,Informational,45,6600,"0.82,0.67,0.82,0.67,0.67,0.82,1.00,0.55,0.82,1.00,1.00,1.00",25,0.15,0.01,"AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
scorpio and leo compatibility,Informational,46,6600,"0.67,0.67,0.55,0.67,0.67,0.55,0.55,0.67,1.00,0.36,0.67,0.44",18,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
scorpio and sagittarius compatibility,Informational,47,6600,"0.67,0.81,0.81,0.81,0.67,0.67,1.00,0.81,0.67,0.67,0.67,0.67",23,0.02,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
scorpio and taurus compatibility,Informational,47,6600,"0.67,0.54,0.54,0.54,0.54,1.00,1.00,0.81,0.67,1.00,0.54,0.54",20,0.02,0.01,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
virgo aries love compatibility,Informational,41,6600,"0.81,0.16,0.00,0.10,0.67,0.81,0.67,0.81,0.00,0.00,0.00,1.00",32,0.01,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
zodiac for 22 december,Informational,36,6600,"0.00,0.00,0.00,0.10,0.66,1.00,0.00,0.00,1.00,0.81,0.81,1.00",28,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Related searches"
zodiac for june 19th,Informational,34,6600,"0.81,1.00,0.00,0.03,0.00,0.00,0.00,0.81,0.66,0.81,1.00,0.81",31,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
zodiac for oct 4,Informational,37,6600,"0.66,0.66,0.00,0.03,0.54,1.00,0.44,0.66,0.54,0.44,0.00,0.00",31,0.04,0.33,"AI Overview, Video, Short videos, People also ask, Related searches"
zodiac of july 23,Informational,32,6600,"1.00,1.00,0.00,0.10,0.50,0.80,1.00,0.80,0.65,0.00,0.00,0.00",25,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Related searches"
zodiac of june 19,Informational,37,6600,"0.81,1.00,0.00,0.03,0.00,0.00,0.00,0.81,0.66,0.81,1.00,0.81",32,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
10 october horoscope sign,Informational,36,5400,"0.36,0.66,0.00,0.03,0.23,1.00,0.36,0.81,0.29,0.44,0.44,0.44",31,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
2027 chinese zodiac,Informational,32,5400,"0.12,0.12,0.12,0.12,0.16,0.16,0.19,0.54,0.81,1.00,0.36,0.29",29,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
20th august zodiac sign,Informational,36,5400,"0.81,1.00,0.00,0.10,0.54,0.54,0.44,0.00,0.66,0.54,1.00,0.00",34,0.02,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
cancer and cancer compatibility,Informational,52,5400,"0.66,0.82,1.00,0.66,0.82,0.82,0.82,0.82,1.00,0.82,1.00,1.00",34,0.03,0.01,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
capricorn and scorpio compatibility,Informational,48,5400,"0.67,0.67,0.67,0.81,0.67,1.00,0.67,0.67,0.67,0.44,0.44,0.54",16,0.03,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
chinese zodiac in 2016,Informational,32,5400,"0.13,0.16,0.00,0.03,0.07,0.24,0.00,0.44,0.36,1.00,0.36,0.24",22,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
f someone,Informational,31,5400,"0.54,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.66,1.00,0.81",29,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
fell in love with a girl,"Informational, Transactional",28,5400,"0.53,1.00,0.81,0.44,0.44,0.00,1.00,0.36,0.00,0.22,0.36,1.00",28,0.00,0.00,"Sitelinks, Reviews, Video, Featured video, Video carousel, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches"
gemini and taurus compatibility,Informational,46,5400,"0.66,0.66,0.36,0.55,0.82,0.55,1.00,0.82,0.55,0.43,0.43,0.43",26,0.04,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
july 10 zodiac,Informational,34,5400,"0.44,0.67,1.00,0.36,0.36,0.54,0.36,0.36,0.44,0.30,0.36,0.36",30,0.02,0.33,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Related searches"
june 21st is what zodiac sign,Informational,32,5400,"1.00,0.81,0.00,0.04,0.43,0.66,0.00,0.00,0.03,0.04,0.04,0.00",24,0.00,0.33,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
scorpio and aries compatibility,Informational,46,5400,"0.55,0.55,0.44,0.55,0.55,0.67,1.00,0.44,0.44,0.67,0.55,0.55",19,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
scorpio and gemini compatibility,Informational,47,5400,"1.00,0.83,0.83,0.83,0.83,0.83,1.00,0.66,0.83,0.66,0.83,0.66",22,0.07,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
scorpio and virgo compatibility,Informational,47,5400,"0.81,0.67,0.81,0.67,0.67,0.67,0.67,0.54,1.00,0.54,0.54,0.54",30,0.01,0.04,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
taurus and scorpio match,Informational,43,5400,"0.67,0.81,0.00,0.09,0.00,0.81,1.00,0.01,0.02,0.01,0.01,0.01",29,0.02,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
virgo and aries compatibility,Informational,42,5400,"0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.67,0.67,0.67,0.81,0.81",27,0.01,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
virgo and capricorn compatibility,Informational,47,5400,"0.67,0.81,1.00,0.81,0.81,0.67,0.67,0.67,0.81,0.54,0.67,0.81",26,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
virgo and gemini compatibility,Informational,47,5400,"1.00,1.00,1.00,1.00,1.00,0.81,0.67,0.81,0.53,0.81,0.81,0.81",25,0.03,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
zodiac wheel,"Informational, Commercial",37,5400,"0.36,0.36,0.36,1.00,1.00,0.54,0.29,0.29,0.44,0.36,0.36,0.36",34,0.51,0.14,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Related searches"
29 may astrology,Informational,44,4400,"1.00,0.00,0.00,0.03,0.23,0.44,0.36,0.36,0.29,0.44,0.44,0.44",22,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
30th december zodiac,Informational,35,4400,"0.29,0.44,0.00,0.03,0.29,0.54,0.44,1.00,0.36,0.54,0.54,0.54",26,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
best astrology app,Commercial,35,4400,"0.07,0.07,0.07,0.08,0.08,0.07,0.05,0.05,0.08,0.08,1.00,0.81",34,2.79,0.23,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
capricorn and pisces compatibility,Informational,47,4400,"1.00,0.81,0.81,0.81,0.81,1.00,0.81,0.81,1.00,0.66,0.66,0.66",19,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Discussions and forums, Related searches"
capricorn and virgo compatibility,Informational,47,4400,"0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.67,0.67,0.67",25,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
compatible meaning,Informational,50,4400,"0.54,0.66,0.54,0.54,0.66,0.28,0.66,0.81,1.00,0.66,0.66,0.54",32,0.00,0.33,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
july 20 is what sign,Informational,34,4400,"0.00,0.04,0.00,0.10,0.54,0.81,0.01,0.02,0.66,0.81,1.00,0.00",31,0.03,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
leo and capricorn love compatibility,Informational,45,4400,"0.02,0.01,0.00,0.10,0.01,0.81,0.03,0.01,1.00,0.00,0.81,1.00",24,0.13,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
leo scorpio compatibility,Informational,47,4400,"0.44,0.35,0.82,0.44,0.67,1.00,0.44,0.44,0.67,0.67,0.15,0.67",26,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
libra man,Informational,37,4400,"0.83,1.00,1.00,0.66,1.00,0.83,0.55,0.83,0.66,0.55,0.55,0.83",34,0.03,0.10,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
month signs,Informational,37,4400,"0.43,0.36,0.55,0.55,0.43,0.36,0.82,0.23,0.55,1.00,0.66,0.36",28,0.03,0.13,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Ads middle"
pisces and capricorn compatibility,Informational,47,4400,"0.67,0.81,0.67,0.67,0.81,0.54,1.00,0.54,0.67,0.54,0.54,0.54",19,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
sagittarius and gemini compatibility,Informational,46,4400,"0.67,1.00,0.82,0.82,0.44,0.35,0.44,0.55,0.35,0.29,0.29,0.55",25,0.02,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
sagittarius and gemini couples,Informational,43,4400,"0.81,1.00,0.00,0.08,0.24,0.36,0.00,0.00,0.24,0.36,0.36,0.02",28,0.02,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
scorpio birthdays,Informational,36,4400,"0.44,0.44,0.54,0.44,0.29,0.54,1.00,0.44,0.54,0.54,0.54,0.54",33,0.10,0.33,"AI Overview, Reviews, Video, People also ask, Related searches"
scorpio woman and scorpio woman,Informational,38,4400,"0.44,1.00,0.00,0.07,0.36,0.66,0.66,0.44,0.36,0.54,0.54,0.54",23,0.02,0.08,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
sep 23 astrology sign,Informational,38,4400,"0.35,0.54,0.00,0.04,1.00,0.66,0.54,0.54,0.44,0.66,0.66,0.66",29,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
taurus and taurus compatibility,Informational,45,4400,"0.54,0.67,0.54,0.81,0.54,0.67,0.54,0.54,0.54,0.15,1.00,0.54",23,0.06,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
zodiac of december 10,Informational,36,4400,"0.29,0.44,0.00,0.03,0.29,0.54,0.44,1.00,0.36,0.36,0.54,0.54",25,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
十二生肖,Informational,32,4400,"0.81,1.00,0.35,0.00,0.54,0.30,0.30,0.35,0.67,0.54,0.30,0.35",23,0.00,0.05,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
12 aprilie zodiac,Informational,35,3600,"0.20,0.30,0.00,0.02,0.20,0.00,0.30,0.30,0.23,0.00,0.36,1.00",14,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
19th march zodiac,Informational,34,3600,"0.00,0.00,0.00,0.10,0.66,0.81,1.00,1.00,0.00,0.00,0.00,0.00",34,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
aquarius and capricorn compatibility,Informational,44,3600,"0.43,0.43,0.54,0.54,0.54,0.54,0.54,0.54,0.67,0.35,1.00,0.43",22,0.02,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
cancer man,Informational,38,3600,"0.44,1.00,0.53,0.53,0.67,0.36,0.36,0.53,0.36,0.67,0.53,0.36",28,0.02,0.08,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
chinese zodiac 2027,Informational,32,3600,"0.23,0.16,0.19,0.23,0.23,0.29,0.44,1.00,1.00,1.00,0.44,0.29",26,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
clicked,Informational,30,3600,"0.44,0.44,0.53,0.81,1.00,0.53,0.81,1.00,0.53,0.67,0.81,1.00",29,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
gemini and leo,Informational,41,3600,"0.81,1.00,0.81,0.54,0.65,0.54,0.65,0.65,0.81,0.65,0.65,0.81",29,0.02,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
gemini and scorpio,Informational,42,3600,"0.81,1.00,0.67,0.44,0.53,0.81,0.81,0.53,0.44,0.67,0.67,0.67",27,0.02,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
gemini scorpio compatibility,Informational,47,3600,"0.54,0.67,0.54,0.54,0.42,0.79,0.29,0.67,0.42,0.67,0.79,1.00",25,0.08,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
july 20 astrology sign,Informational,35,3600,"0.01,0.03,0.01,0.04,0.01,0.81,0.01,0.01,0.66,0.81,1.00,0.00",31,0.03,0.33,"AI Overview, Reviews, Video, People also ask, Related searches"
june 21st zodiac signs,Informational,34,3600,"0.00,0.00,0.00,0.05,0.08,0.10,0.13,0.10,0.66,0.81,1.00,0.13",22,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
leo and gemini love match,Informational,43,3600,"0.00,0.00,0.00,0.03,0.54,0.81,0.02,0.03,0.66,0.00,1.00,0.01",25,0.03,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
obsessive love disorder,"Informational, Commercial",33,3600,"1.00,0.66,0.82,0.66,0.66,0.52,0.66,0.52,0.52,0.52,0.43,0.52",32,0.13,0.03,"AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Things to know"
sagittarius scorpio match,Informational,43,3600,"0.66,1.00,0.00,0.07,0.36,0.66,0.54,0.04,0.03,0.54,0.04,0.10",31,0.02,0.02,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
scorpio with sagittarius compatibility,Informational,47,3600,"0.44,0.44,0.53,0.44,0.44,0.35,0.53,1.00,1.00,0.35,1.00,1.00",26,0.02,0.02,"AI Overview, Video, People also ask, Discussions and forums, Related searches"
star sign 21 july,Informational,32,3600,"0.81,1.00,0.00,0.10,0.54,1.00,0.02,0.02,0.02,0.01,0.02,0.02",30,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
taurus and scorpio,Informational,42,3600,"0.83,0.83,0.83,0.55,1.00,0.55,0.55,0.83,0.66,0.66,0.66,0.83",29,0.03,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
taurus gemini compatibility,Informational,46,3600,"0.66,0.82,0.52,0.66,0.34,0.66,0.66,0.52,1.00,0.23,0.66,0.82",26,0.04,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
taurus woman,Informational,40,3600,"1.00,0.44,0.44,0.44,0.55,0.36,0.36,0.55,0.36,0.55,0.44,0.55",29,0.03,0.07,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Things to know"
types of relationships,Informational,43,3600,"1.00,0.67,0.82,0.67,0.82,0.67,0.53,0.82,0.67,0.67,0.67,0.53",18,0.63,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
zodiac signs dec 12,Informational,36,3600,"0.23,0.36,0.00,0.03,0.29,0.44,0.00,1.00,0.29,0.00,0.44,0.44",31,0.00,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
14th august zodiac sign,Informational,38,2900,"0.00,0.00,0.00,0.29,0.53,1.00,0.00,0.81,0.66,1.00,1.00,1.00",30,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
1968 zodiac,Informational,33,2900,"0.10,0.13,0.10,0.36,0.43,0.36,0.28,0.43,1.00,0.81,0.66,0.08",30,0.00,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
9th march zodiac,Informational,34,2900,"0.55,0.83,0.00,0.03,0.55,1.00,0.83,0.00,0.66,1.00,0.00,1.00",31,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
agreeable synonym,Informational,37,2900,"0.80,0.67,0.80,1.00,0.80,0.80,0.53,0.53,0.80,0.53,0.80,0.67",32,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
am i in love quiz,Commercial,39,2900,"1.00,0.44,0.13,0.10,0.13,0.13,0.15,0.10,0.13,0.08,0.13,0.15",28,0.18,0.05,"Video, Related searches"
aries and virgo,Informational,36,2900,"0.64,0.53,0.81,0.53,0.42,1.00,0.36,0.42,0.81,0.81,0.42,0.81",29,0.02,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
cam date everything,Informational,0,2900,"0.00,0.81,1.00,0.36,0.19,0.08,0.07,0.05,0.07,0.04,0.05,0.04",14,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, Related searches"
cancerian guys,Informational,38,2900,"0.00,0.00,0.00,0.00,0.66,1.00,0.81,0.81,0.66,1.00,0.00,1.00",28,0.02,0.08,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
capricorn and aquarius,Informational,43,2900,"0.79,0.42,0.79,0.42,0.42,0.42,0.54,0.67,1.00,0.67,0.54,0.79",26,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
capricorn and capricorn compatibility,Informational,51,2900,"0.11,0.03,1.00,0.23,0.15,0.35,0.55,0.20,0.23,0.15,0.55,0.35",22,0.03,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
capricorn aquarius compatibility,Informational,45,2900,"0.67,0.23,0.36,0.12,0.10,0.10,0.16,0.23,1.00,0.04,0.06,0.19",24,0.02,0.03,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
capricorn scorpio compatibility,Informational,48,2900,"0.54,0.81,0.67,0.35,0.30,0.81,0.19,0.13,1.00,0.67,0.30,0.15",16,0.03,0.01,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
capricorn woman and capricorn woman,Informational,39,2900,"0.65,1.00,0.00,0.06,0.65,0.54,1.00,1.00,0.81,0.81,0.81,1.00",17,0.02,0.05,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
compatible synonym,Informational,44,2900,"0.80,0.67,0.53,0.67,0.67,1.00,1.00,0.53,0.67,0.67,0.80,0.67",32,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
daniel dowd,Informational,25,2900,"0.24,0.29,0.24,0.29,1.00,0.36,0.16,0.24,0.29,0.16,0.16,0.24",13,0.00,0.33,"Image, Image pack, People also ask, Related searches"
fell in love with a girl lyrics,Informational,27,2900,"0.54,0.43,0.54,0.28,0.66,0.54,1.00,0.28,0.36,0.36,0.04,0.28",32,0.00,0.00,"AI Overview, Video, Video carousel, People also ask, Related searches"
gemini and cancer,Informational,40,2900,"1.00,0.81,0.81,0.65,0.35,0.54,0.35,0.22,0.65,0.65,0.35,0.54",25,0.02,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches"
gemini and gemini compatibility,Informational,46,2900,"0.30,0.35,0.30,0.22,0.22,0.15,0.15,0.30,1.00,0.35,0.19,0.54",22,0.03,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
