Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (TWD),Competitive Density,SERP Features
64人格,Informational,480,"0.55,0.30,0.30,0.30,0.37,0.68,0.25,0.55,0.55,1.00,0.68,0.37",29,7.43,0.28,"AI Overview, Video, Related searches, Ads bottom"
mbte,Informational,480,"0.66,0.81,1.00,0.81,0.44,0.81,0.81,0.81,1.00,0.66,0.54,0.66",21,19.71,0.02,"Image pack, Video"
mbti intj,Informational,480,"1.00,1.00,0.81,1.00,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.54",34,6.46,0.02,"AI Overview, Video, Video carousel, Related searches"
mbti 物流師,Informational,480,"0.30,0.30,0.36,0.36,0.44,0.44,0.67,0.82,1.00,0.82,1.00,0.67",32,0.00,0.00,"AI Overview, Video, People also ask, Related searches"
mbti 顏色,Informational,480,"0.67,1.00,0.67,0.82,0.36,0.44,0.36,0.54,1.00,0.54,0.36,0.44",20,0.00,0.01,"Image, Image pack, Video, Related searches"
何 種,Informational,480,"0.19,0.16,0.24,0.30,0.36,0.67,1.00,0.36,1.00,1.00,0.67,1.00",28,0.00,0.33,"AI Overview, Image pack, Video, People also ask"
e 型 人格,Informational,390,"1.00,0.81,0.67,0.67,0.67,0.67,0.67,0.54,0.54,0.44,0.44,0.35",28,1.94,0.21,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti enfj,Informational,390,"0.81,1.00,0.66,0.66,0.54,0.81,0.44,0.54,0.66,0.54,0.54,0.54",32,0.00,0.02,"AI Overview, Video, Video carousel, People also ask, Related searches"
mbti isfp,Informational,390,"1.00,1.00,0.67,0.67,0.67,0.81,0.67,0.67,0.67,0.81,0.67,0.54",28,0.00,0.01,"AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
mbti j,Informational,390,"1.00,1.00,0.81,0.67,0.67,0.81,0.67,0.54,0.54,0.54,0.44,0.44",30,0.00,0.01,"Image pack, Video, Video carousel, People also ask, Related searches"
mbti 人格 比例,Informational,390,"0.54,0.54,0.54,0.54,0.44,1.00,0.44,0.67,0.44,0.54,0.36,0.24",28,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
mbti 藝術家,Informational,390,"0.81,1.00,0.81,1.00,0.81,1.00,0.67,0.67,0.67,0.54,0.54,0.54",29,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti測試韓國,Informational,390,"0.16,0.20,0.20,0.11,0.20,0.13,0.30,0.25,0.16,0.55,1.00,0.55",34,24.88,0.00,"AI Overview, Reviews, Video, Video carousel, Related searches"
twice mbti,Informational,390,"0.44,0.36,0.30,0.30,1.00,0.55,0.30,0.24,0.82,0.36,0.24,0.16",24,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
個人 特質 有 哪些,Informational,390,"0.30,0.30,0.36,0.36,0.36,0.30,0.30,0.24,0.82,1.00,1.00,0.55",12,1.94,0.04,"AI Overview, Image pack, Video, People also ask, Related searches"
個性 有 哪些,Informational,390,"0.54,1.00,1.00,0.66,0.54,0.54,0.44,0.44,0.81,0.54,0.66,0.54",25,0.00,0.01,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
bmti,Informational,320,"0.82,0.82,0.82,0.82,0.67,0.82,0.54,0.82,0.82,1.00,0.67,0.54",31,6.14,0.28,"Image pack, Video, People also ask, Related searches"
e型人格特質,Informational,320,"0.00,0.00,0.09,0.14,0.21,0.26,0.32,0.26,0.39,0.39,0.72,1.00",28,1.29,0.05,"Sitelinks, AI Overview, Video, People also ask, Related searches"
iu mbti,Informational,320,"0.44,0.54,1.00,0.67,0.54,0.29,0.36,0.29,0.24,0.19,0.19,0.15",26,0.00,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
mbti intp,Informational,320,"1.00,1.00,0.82,1.00,0.67,1.00,0.82,0.82,0.67,0.82,0.67,0.67",29,0.00,0.01,"AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
mbti istj,Informational,320,"0.82,0.82,0.82,0.82,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.54",34,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti稀有度排行,Informational,320,"0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.48,0.48,0.72,0.88,1.00",26,0.00,0.00,"AI Overview, Video, People also ask, Related searches"
mitb,Informational,320,"0.82,0.82,0.67,0.82,0.54,1.00,0.67,0.67,0.54,0.54,0.54,0.54",27,0.00,0.33,"AI Overview, Image pack, People also ask, Related searches"
性格 意思,Informational,320,"1.00,1.00,1.00,1.00,0.67,0.82,0.67,0.67,0.82,0.67,0.82,0.82",34,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
bts mbti,Informational,260,"0.82,0.67,0.44,0.54,0.82,0.54,0.44,0.36,0.82,1.00,0.82,0.82",16,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
gd mbti,Informational,260,"1.00,0.44,0.19,0.24,0.54,0.44,0.15,0.19,0.15,0.15,0.15,0.10",29,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Related searches"
intf,Informational,260,"1.00,0.82,0.82,0.67,0.67,0.67,0.67,0.54,0.54,0.54,0.54,0.44",21,13.57,0.02,"AI Overview, Image pack, Video, People also ask"
mbti entp,Informational,260,"1.00,0.81,0.81,0.81,0.66,0.81,0.53,0.66,0.81,0.66,0.44,0.44",31,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
mbti sn,Informational,260,"0.54,0.67,0.67,0.44,0.67,1.00,0.44,0.44,0.35,0.35,0.29,0.35",29,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti 相性,Informational,260,"1.00,0.67,1.00,0.82,0.82,0.67,0.54,0.44,0.36,0.28,0.28,0.18",23,0.00,0.01,"Sitelinks, Image pack, Video, People also ask, Related searches"
人格 英文,Informational,260,"0.81,0.81,1.00,1.00,0.81,1.00,1.00,0.65,1.00,1.00,0.81,0.81",34,0.00,0.33,"AI Overview, Instant answer, Video, Video carousel, People also ask, Related searches"
活動家,Informational,260,"1.00,1.00,1.00,1.00,0.81,1.00,0.81,0.66,1.00,0.81,0.53,0.53",34,0.00,0.33,"AI Overview, Image pack, People also ask, Related searches"
16 型 人格 職業,Informational,210,"1.00,0.81,0.66,0.66,0.44,0.44,0.44,0.44,0.44,0.53,0.34,0.34",16,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
esfj-a / esfj-t分別,Informational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.72",23,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti esfj,Informational,210,"1.00,1.00,0.81,0.81,0.65,0.81,0.65,0.65,0.81,0.65,0.42,0.54",33,0.00,0.01,"AI Overview, Video, People also ask, Knowledge panel, Related searches"
性格 特質,Informational,210,"0.36,0.44,0.67,0.54,0.44,0.54,0.67,0.44,0.82,0.82,0.82,1.00",21,2.91,0.04,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
特質 表,Informational,210,"0.23,0.28,0.67,0.67,0.67,0.54,0.28,0.28,0.82,0.67,1.00,0.44",19,0.00,0.33,"Image pack, Video, People also ask, Related searches"
a 人,Informational,170,"1.00,0.81,0.67,0.81,0.67,0.81,0.52,0.67,0.67,0.67,0.52,0.43",34,0.00,0.01,"AI Overview, Image pack, Video, People also ask, Related searches"
emti,Informational,170,"1.00,0.81,0.81,0.67,0.67,0.81,0.67,0.52,0.67,0.67,0.67,0.43",28,0.00,0.33,"Image pack, People also ask, Related searches"
m 型 人格,Informational,170,"0.81,1.00,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.67,0.81,0.52",22,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti 分佈,Informational,170,"0.36,0.67,0.44,0.36,0.28,1.00,0.18,0.44,0.28,0.18,0.18,0.23",30,0.00,0.33,"Image, Image pack, Video, People also ask"
mbti 動物,Informational,170,"0.35,0.35,0.35,0.29,0.35,0.35,0.23,0.19,0.29,1.00,0.54,0.29",11,16.15,0.03,"Image, Image pack, Video, Related searches"
mbti 書,Informational,170,"0.66,0.66,0.53,0.53,0.44,1.00,0.44,0.44,0.44,0.53,0.53,0.28",15,0.97,0.99,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches"
spotify mbti,Informational,170,"0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,1.00",28,86.91,0.04,"Sitelinks, Video, Related searches"
人格 特質 描述,Informational,170,"0.67,0.67,1.00,0.36,0.28,0.23,0.18,0.13,0.36,0.18,0.23,0.13",20,0.00,0.02,"AI Overview, Image pack, Video, People also ask, Related searches"
心理 測驗 網站,Informational,170,"0.65,0.65,0.65,0.54,0.81,0.65,0.65,0.65,1.00,0.81,0.65,0.54",24,50.40,0.09,"Image pack, Video, Related searches"
64 型,Informational,140,"0.36,0.05,0.10,0.08,0.05,0.82,0.13,0.82,0.67,1.00,0.44,0.13",27,14.22,0.26,"AI Overview, Image, Image pack, Video, Related searches"
mbti 職業,Informational,140,"0.82,1.00,1.00,1.00,0.65,1.00,0.82,0.65,0.53,0.53,0.65,0.41",19,0.00,0.03,"AI Overview, Reviews, Image pack, Video, Related searches"
s 型 人格,Informational,140,"0.81,0.67,0.67,0.52,0.52,1.00,0.67,0.52,0.67,0.52,0.52,0.33",31,0.00,0.03,"AI Overview, Image pack, Video, People also ask, Related searches"
t 型 人,Informational,140,"1.00,0.82,0.65,0.53,0.53,0.53,1.00,0.41,0.53,0.82,1.00,0.41",34,0.00,0.04,"AI Overview, Image pack, Video, Short videos, People also ask, Related searches"
人格 特質 分類,Informational,140,"0.82,0.82,0.82,0.82,0.65,0.53,0.53,0.41,0.65,0.82,1.00,0.53",31,4.20,0.09,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
什麼 人,Informational,140,"1.00,0.82,0.82,1.00,0.82,0.65,0.65,0.65,0.65,0.65,0.82,0.53",32,0.00,0.33,"AI Overview, Reviews, Image pack, Video, Video carousel, Related searches"
你 是 什麼,Informational,140,"0.64,0.50,0.64,1.00,0.79,0.64,0.79,0.64,0.64,0.79,0.64,0.79",28,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Related searches"
個性 測試,Informational,140,"1.00,1.00,0.82,1.00,0.65,0.82,0.65,0.65,1.00,0.82,0.53,0.53",34,6.14,0.39,"AI Overview, Reviews, Image pack, Video, Video carousel, Related searches"
a 型 人格 測驗,Informational,110,"0.20,0.60,0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.80,0.20,0.20",20,3.23,0.20,"AI Overview, Video, Related searches"
taylor swift mbti,Informational,110,"0.07,1.00,0.07,0.21,0.07,0.79,0.07,0.07,0.64,0.64,0.07,0.07",17,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask"
人格 測驗 遊戲,Informational,110,"0.82,0.65,0.53,0.53,0.82,0.82,0.65,0.65,0.82,1.00,0.53,0.53",21,2.91,0.14,"Reviews, Video, Video carousel, People also ask, Related searches"
人格 特質 分析,Informational,110,"0.15,0.42,0.81,0.42,0.08,1.00,0.04,0.04,0.04,0.15,0.04,0.04",33,4.85,0.31,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
性格 表,Informational,110,"0.41,0.65,0.82,0.65,0.53,0.53,0.82,0.53,0.82,0.53,1.00,1.00",24,0.00,0.33,"Sitelinks, Image pack, Related searches"
榮 格 16 型 人格,Informational,110,"0.65,0.65,0.82,0.82,0.41,1.00,0.53,0.41,0.53,0.29,0.29,0.24",28,10.34,0.18,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
榮 格 心理 學 測驗,Informational,110,"0.82,0.65,1.00,1.00,0.65,0.82,0.53,0.41,0.53,0.53,0.65,0.41",19,3.88,0.36,"AI Overview, Video, Video carousel, Related searches"
榮 格 測驗,Informational,110,"0.23,0.08,1.00,0.02,0.02,0.54,0.10,0.04,0.02,0.02,0.04,0.02",18,4.85,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
稀有 人格,Informational,110,"0.43,1.00,0.67,0.67,0.33,0.67,0.43,0.52,0.52,0.43,0.24,0.24",26,0.00,0.02,"Image pack, Video, People also ask, Related searches"
人 的 特質,Informational,90,"0.50,0.50,1.00,0.79,0.64,0.79,0.50,0.50,1.00,0.50,0.64,0.50",18,0.00,0.02,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
性格 是 什麼,Informational,90,"0.67,0.05,1.00,0.19,0.05,0.05,0.05,0.05,0.05,0.10,0.19,0.10",29,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
性格 結構,Informational,90,"0.02,0.02,0.05,0.02,0.02,0.02,0.16,0.03,0.25,0.68,1.00,0.68",25,0.00,0.33,"AI Overview, Video, Knowledge panel, Related searches"
我 是 什麼,Informational,90,"0.79,1.00,0.64,0.64,0.79,0.64,0.64,0.50,0.64,0.79,1.00,0.64",19,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
我 的 個性,Informational,90,"0.19,0.24,1.00,0.03,0.02,0.02,0.02,0.02,0.15,0.03,0.07,0.02",28,5.17,0.11,"AI Overview, Video, Video carousel, People also ask, Related searches"
16p,Informational,70,"0.64,0.64,1.00,0.82,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64",26,1.29,0.05,"Sitelinks, Video, Related searches"
mbti 哲學 家,Informational,70,"1.00,0.06,0.82,0.06,0.06,0.06,0.06,0.06,0.12,0.53,0.06,0.29",19,0.00,0.01,"AI Overview, Image pack, Video, People also ask, Related searches"
人格 者,Informational,70,"0.81,0.19,0.24,0.05,0.05,0.05,0.05,0.67,1.00,0.14,0.05,0.05",24,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
個人 特質 描述,Informational,70,"0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,1.00,0.53,0.12,0.03",16,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbt1,Informational,50,"0.08,0.02,0.03,0.05,0.03,0.08,0.10,0.03,0.16,0.24,0.19,1.00",31,7.11,0.20,"AI Overview, Video"
mbti 愛情,Informational,50,"0.06,0.06,0.06,1.00,0.53,0.29,0.06,0.12,0.53,0.06,0.12,0.06",17,0.00,0.33,"Image pack, Video, Video carousel, Related searches"
mbty,Informational,40,"0.09,1.00,1.00,0.09,0.45,0.18,0.18,0.09,0.27,0.27,0.18,0.64",27,1.62,0.31,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
mitp,Informational,40,"0.40,1.00,0.80,0.40,0.20,0.20,0.20,0.40,0.20,0.60,0.20,0.40",18,3.55,0.22,"Video, People also ask, Related searches"
人格 是 什麼,Informational,40,"0.05,0.05,0.05,1.00,0.19,0.52,0.24,0.05,0.05,0.05,0.05,0.19",23,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask"
人格 特征,Informational,40,"1.00,0.41,0.65,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.41,0.18",28,2.26,0.27,"Sitelinks, AI Overview, Image pack, Video, Related searches"
個人 特質 圖表,Informational,40,"0.06,0.06,0.06,0.06,0.41,0.06,0.06,0.06,0.06,1.00,0.06,0.41",19,0.00,0.33,"Image pack, Video, People also ask, Related searches"
個性 表,Informational,40,"0.82,0.18,1.00,1.00,0.09,0.09,0.09,0.27,0.09,0.82,0.18,0.09",22,0.00,0.33,"Sitelinks, Image pack, Video, Related searches"
內在 特質 有 哪些,Informational,40,"0.11,1.00,0.11,0.33,0.11,0.11,1.00,1.00,0.11,0.11,0.11,0.33",20,0.00,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
動物 型 人格,Informational,40,"0.03,0.28,0.03,0.06,0.53,0.03,0.03,0.03,0.03,0.03,0.34,1.00",22,0.00,0.04,"AI Overview, Image pack, Video, Related searches"
受 歡迎 的 人 特質,Informational,40,"0.40,0.20,1.00,0.20,0.20,0.60,0.20,0.60,0.20,0.20,0.20,0.20",16,0.00,0.33,"AI Overview, Video, Video carousel, Related searches"
描述 個人 特質,Informational,40,"0.33,0.11,0.11,1.00,0.11,0.33,0.44,0.78,0.78,0.33,0.11,0.11",15,0.00,0.33,"AI Overview, Reviews, Video, People also ask, Related searches"
榮 格 人格 類型,Informational,40,"0.15,0.04,0.15,0.04,0.04,0.08,0.04,0.04,1.00,0.08,0.04,0.27",22,0.00,0.17,"AI Overview, Video, Video carousel, Related searches"
榮 格 心理 學 人格 分析,Informational,40,"1.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.36,0.07,0.07",21,3.55,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
構成 八 種 性格,Informational,40,"0.11,0.11,0.78,1.00,0.11,0.78,0.11,0.78,0.11,0.11,0.11,0.22",28,0.00,0.33,"AI Overview, Video, People also ask"
