Keyword,Intent,Relevance,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
3 on enneagram,Informational,68,4400,"0.02,0.01,0.00,0.02,0.01,0.66,0.01,0.01,0.54,0.66,0.81,1.00",30,0.32,0.03,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
enneagram personality 5,Informational,66,4400,"0.00,0.03,0.00,0.10,0.01,1.00,0.03,0.02,0.66,0.81,1.00,0.81",31,0.23,0.04,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
entp characters,Informational,39,4400,"0.81,0.81,0.81,1.00,0.81,0.81,1.00,0.81,1.00,0.67,0.81,0.81",24,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
intj characters,Informational,37,4400,"0.82,0.67,0.67,1.00,0.82,0.67,0.67,0.67,0.67,0.55,0.67,0.67",15,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
enfj characters,Informational,40,3600,"1.00,0.82,1.00,0.82,0.82,0.82,0.82,0.65,1.00,0.82,0.82,0.82",20,0.00,0.33,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
mbti characters,Informational,41,3600,"1.00,1.00,1.00,0.82,0.66,0.82,0.55,0.82,1.00,0.66,0.66,0.82",28,0.50,0.33,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
rarest mbti,Informational,45,3600,"0.54,0.81,1.00,1.00,0.81,1.00,0.54,0.54,0.81,0.65,0.65,0.65",33,0.32,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
type a b c d personality,Informational,42,3600,"0.36,0.23,0.30,0.36,0.09,0.16,0.11,0.66,0.36,0.18,1.00,0.16",32,0.13,0.06,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
4 é,Informational,49,2900,"0.53,0.66,0.01,0.16,0.29,0.44,0.81,0.81,0.44,0.66,1.00,1.00",29,0.00,0.03,"AI Overview, Reviews, Image pack, Video, Video carousel"
enfp t,Informational,44,2900,"0.28,0.15,0.54,1.00,1.00,0.36,0.81,0.28,0.54,0.15,0.24,0.15",30,0.19,0.33,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Things to know"
enneagram one,"Informational, Commercial",69,2900,"0.07,0.35,0.44,0.35,0.16,0.23,0.54,0.03,1.00,0.19,0.29,0.19",28,0.35,0.05,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Things to know, Ads top"
enneagram type 1,Informational,68,2900,"1.00,0.81,0.81,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.63,1.00",27,0.39,0.05,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Things to know"
enneagram type 2,Informational,64,2900,"1.00,0.81,0.81,0.81,0.81,0.81,0.63,0.63,0.63,0.63,1.00,0.63",30,0.43,0.03,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
enneagram type 4,Informational,59,2900,"0.79,0.67,0.54,0.67,0.79,0.79,0.54,0.54,0.79,0.54,1.00,0.67",30,0.41,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
enneagram type 9,Informational,64,2900,"0.67,0.67,1.00,0.79,0.79,0.33,0.42,0.42,0.54,0.42,0.54,0.54",27,0.41,0.08,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
ennegram 8,"Informational, Commercial",60,2900,"0.82,0.43,0.82,1.00,0.82,0.82,0.82,0.55,1.00,0.43,1.00,0.30",22,0.39,0.07,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches, Things to know"
ennegram types,Informational,64,2900,"0.45,0.34,0.55,1.00,0.66,0.45,0.55,0.34,0.55,0.66,0.55,0.55",34,0.30,0.31,"Image, Image pack, Video, People also ask, Knowledge panel, Related searches"
2 on enneagram,Informational,63,2400,"0.02,0.01,0.00,0.19,0.66,1.00,0.01,0.02,0.01,0.10,0.02,0.02",25,0.50,0.03,"AI Overview, Reviews, Image pack, Video, People also ask, Discussions and forums, Related searches"
4w5,Informational,43,2400,"0.83,1.00,0.66,0.66,0.66,0.66,0.66,0.83,1.00,0.66,1.00,0.66",20,0.58,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
6 on enneagram,Informational,59,2400,"0.03,0.02,0.01,0.01,0.66,0.06,0.01,0.01,1.00,0.02,0.04,0.03",26,0.24,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
dcis personality types,Informational,39,2400,"0.67,0.80,0.00,0.24,0.44,0.67,0.80,0.67,0.53,1.00,0.80,1.00",29,0.60,0.37,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
enfp careers,Commercial,41,2400,"0.65,0.65,0.65,1.00,1.00,0.84,0.84,0.84,0.84,0.84,0.65,0.84",32,0.44,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
enneagram nine,Informational,58,2400,"0.36,0.19,1.00,0.43,0.24,0.36,0.28,0.36,0.28,0.36,0.36,0.54",27,0.26,0.07,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
enneagram three,Informational,60,2400,"0.44,0.44,0.24,0.30,0.44,0.30,0.15,0.67,1.00,0.54,0.13,0.44",24,0.32,0.03,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
enneagram type 3,Informational,69,2400,"1.00,0.83,0.83,1.00,0.83,0.65,0.83,0.65,0.83,0.57,0.65,0.83",27,0.56,0.03,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
enneagram type 5,Informational,64,2400,"1.00,0.83,0.83,1.00,0.65,0.83,0.65,0.83,1.00,0.65,0.83,0.83",30,0.35,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
enneagram type 6,Informational,64,2400,"0.84,0.84,1.00,1.00,1.00,0.84,0.84,0.84,1.00,0.84,1.00,0.63",26,0.36,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
ennegram 2,"Informational, Commercial",61,2400,"1.00,0.55,0.83,1.00,0.83,0.66,1.00,0.55,0.83,0.45,0.66,0.66",31,0.50,0.03,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
ennegram 3,"Informational, Commercial",67,2400,"0.52,0.52,1.00,0.52,0.52,1.00,0.67,0.67,0.67,0.52,0.52,0.44",28,0.32,0.03,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Things to know"
ennegram 7,Informational,59,2400,"1.00,0.83,0.83,0.66,0.83,0.83,1.00,0.66,0.54,0.66,0.83,0.83",25,0.33,0.04,"AI Overview, Image pack, Video, Short videos, People also ask, Related searches"
ennegram 9,Informational,57,2400,"0.84,0.84,0.84,0.63,0.84,0.63,0.63,0.63,0.63,0.53,0.63,1.00",21,0.26,0.07,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
entj characters,Informational,38,2400,"1.00,1.00,0.83,1.00,0.83,0.83,1.00,0.66,0.83,0.83,0.83,1.00",22,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
esfp personality,Informational,45,2400,"0.83,0.65,0.65,0.83,1.00,1.00,0.83,0.65,0.83,0.83,0.83,1.00",34,0.20,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
infp celebrities,Informational,36,2400,"0.67,0.50,0.50,1.00,0.67,0.50,0.67,0.42,0.67,0.50,0.50,0.42",25,0.02,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches"
infp jobs,Commercial,32,2400,"0.83,0.66,0.66,0.34,0.83,1.00,0.83,0.66,0.83,0.83,0.66,0.83",30,0.47,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
intj a,Informational,39,2400,"0.66,1.00,0.80,1.00,0.80,0.44,0.80,0.24,0.66,0.66,0.80,0.52",28,0.28,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
i人,Informational,29,2400,"0.67,0.54,0.54,1.00,0.54,0.15,0.09,0.09,0.67,0.04,0.05,0.05",34,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti s vs n,"Informational, Commercial",36,2400,"0.83,0.83,0.83,0.83,0.83,1.00,0.65,0.55,1.00,0.83,0.55,1.00",18,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mediator personality type,Informational,41,2400,"0.65,1.00,0.45,0.65,0.83,0.83,0.65,0.83,0.83,0.83,0.83,0.65",30,0.23,0.02,"Sitelinks, AI Overview, Reviews, Image pack, Video, Short videos, People also ask, Related searches, Things to know"
type 4 enneagram,"Informational, Commercial",60,2400,"0.55,0.34,0.41,0.55,0.41,0.41,0.41,0.28,0.55,0.55,1.00,0.55",25,0.41,0.03,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Things to know"
type a b c d personality test,Informational,41,2400,"1.00,0.36,0.12,0.23,0.09,0.23,0.23,0.16,0.00,0.09,0.12,0.12",21,0.46,0.50,"AI Overview, Video, People also ask, Related searches"
what is a type c personality,Informational,36,2400,"0.65,0.44,0.55,0.65,0.82,0.65,0.82,0.82,1.00,0.65,0.82,1.00",31,0.20,0.04,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
16personalities com,Navigational,38,1900,"0.28,0.19,0.15,1.00,0.81,0.19,0.10,0.07,0.01,0.13,0.28,0.19",33,0.35,0.30,"Video, People also ask, Related searches"
4w5 enneagram,Informational,62,1900,"0.79,0.55,0.79,0.55,0.79,0.67,1.00,0.79,1.00,0.67,1.00,1.00",31,0.35,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches, Things to know"
5w4,Informational,43,1900,"1.00,0.78,0.78,0.78,0.78,0.67,0.53,0.78,0.78,0.78,0.78,0.78",24,0.69,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know"
6w5,Informational,42,1900,"0.78,0.78,0.78,0.67,0.53,0.67,0.67,0.67,1.00,0.78,1.00,1.00",25,0.68,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
all possible enneagram types mixes,Informational,59,1900,"1.00,0.00,0.00,0.00",12,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
brez mbti,Informational,45,1900,"1.00,0.00,0.84,0.00",27,0.00,0.00,"Video, People also ask, Related searches"
enfj careers,"Informational, Commercial",42,1900,"0.80,0.55,0.66,0.80,1.00,0.80,0.80,0.55,0.80,0.66,0.66,0.66",25,0.43,0.01,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
enfp jobs,"Informational, Commercial",37,1900,"0.55,0.66,0.55,1.00,0.34,0.66,0.55,0.66,0.66,0.66,0.55,0.45",30,0.40,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
enneagram eight,Informational,58,1900,"0.03,0.02,0.02,0.02,0.04,0.04,0.02,0.01,1.00,0.03,0.03,0.05",22,0.38,0.05,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
enneagram four,Informational,61,1900,"0.09,0.07,0.09,0.19,0.15,0.07,0.13,0.06,1.00,0.81,0.35,0.28",25,0.41,0.05,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
enneagram type 7,Informational,65,1900,"1.00,0.79,0.79,1.00,0.68,0.68,0.79,0.68,0.79,0.79,1.00,0.79",23,0.37,0.02,"AI Overview, Video, Video carousel, People also ask, Related searches"
enneagram type 8,Informational,60,1900,"1.00,1.00,1.00,1.00,1.00,0.79,0.79,0.67,1.00,0.67,0.79,0.67",25,0.52,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
esfp characters,Informational,37,1900,"0.55,1.00,0.79,0.79,0.67,0.67,0.79,0.67,0.79,0.67,0.67,0.79",20,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
infp-t characters,Informational,34,1900,"0.54,0.22,0.54,0.81,0.65,0.35,0.22,0.19,1.00,0.30,0.35,0.30",26,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
intj careers,Commercial,32,1900,"0.67,0.67,0.79,1.00,1.00,1.00,0.67,0.79,1.00,0.79,1.00,0.79",21,0.55,0.01,"AI Overview, Video, People also ask, Related searches"
intj female,Informational,33,1900,"0.66,0.80,0.80,1.00,0.80,0.80,0.66,0.80,0.80,0.80,0.66,0.80",30,0.06,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
intj vs intp,Informational,35,1900,"0.79,0.55,1.00,0.79,0.67,0.79,0.79,0.67,0.55,1.00,0.79,0.67",25,0.08,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
intp vs intj,"Informational, Commercial",34,1900,"0.55,0.65,0.83,0.55,0.45,0.65,0.55,0.65,1.00,0.83,0.65,0.65",27,0.08,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
isfj characters,Informational,40,1900,"0.79,0.79,1.00,1.00,1.00,0.79,0.79,0.79,0.79,1.00,0.79,1.00",20,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
isfj t,Informational,38,1900,"0.20,0.36,0.27,1.00,0.80,0.27,0.80,0.36,0.80,0.44,0.66,0.44",32,0.11,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
mediator personality,Informational,42,1900,"0.84,0.63,0.63,1.00,0.63,0.84,0.53,0.42,0.42,0.53,0.42,0.42",30,0.01,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
the road back to you,Informational,24,1900,"1.00,0.83,1.00,1.00,0.83,0.83,0.83,0.70,0.83,1.00,1.00,0.83",32,0.26,0.92,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
type c person,Informational,32,1900,"0.52,0.36,0.36,0.36,0.27,0.52,0.44,0.52,0.80,0.66,0.66,1.00",33,0.16,0.02,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Related searches"
what mbti and ennagram is the opportunist,Informational,59,1900,"1.00,0.00,0.00,0.00",13,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches"
2w1 enneagram,Informational,58,1600,"0.66,0.66,0.66,0.54,0.54,0.54,1.00,0.79,0.41,0.54,0.79,0.79",22,0.37,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
2w3,Informational,42,1600,"1.00,0.83,1.00,1.00,1.00,1.00,1.00,0.83,1.00,0.83,1.00,1.00",30,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
5w6,Informational,46,1600,"0.69,1.00,1.00,0.69,0.83,0.69,0.69,0.69,0.69,0.83,1.00,0.83",20,0.63,0.33,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know"
8w7,Informational,46,1600,"0.86,0.86,1.00,0.86,0.86,0.68,0.68,0.68,0.86,0.86,0.86,0.86",20,0.97,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
9 on enneagram,Informational,67,1600,"0.02,0.08,0.02,0.02,0.02,0.08,0.01,0.01,1.00,0.02,0.04,0.03",34,0.26,0.07,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
9w1,Informational,45,1600,"0.86,1.00,1.00,0.86,0.68,0.68,0.68,0.68,1.00,0.86,0.68,0.86",33,0.59,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Things to know"
a type b type personality test,Informational,40,1600,"1.00,1.00,0.00,0.36,0.67,0.53,0.78,0.78,0.53,0.67,0.67,0.78",30,0.46,0.50,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
best free enneagram test,Commercial,62,1600,"0.45,0.45,0.45,0.34,0.45,0.55,0.45,0.45,0.83,0.45,0.65,1.00",22,1.06,0.70,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
enfp celebrities,Informational,42,1600,"0.70,0.83,0.70,0.83,1.00,0.83,0.83,1.00,0.83,0.70,0.83,0.70",26,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
enneagram 4w5,Informational,60,1600,"0.45,0.45,0.34,0.66,0.34,0.66,0.55,0.34,0.45,0.55,1.00,0.66",23,0.53,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Things to know"
enneagram five,Informational,59,1600,"0.08,0.07,0.35,0.08,0.08,0.07,0.05,0.05,1.00,0.07,0.16,0.10",28,0.34,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
enneagram personality 4,Informational,65,1600,"0.02,0.05,0.00,0.16,1.00,0.07,0.03,0.03,0.66,0.03,0.04,0.03",17,0.41,0.05,"AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
enneagram seven,Informational,61,1600,"0.10,0.10,0.08,0.07,0.05,0.16,0.10,0.04,1.00,0.10,0.35,0.29",25,0.34,0.02,"Image pack, Video, Video carousel, People also ask, Related searches"
ennegram 1,Informational,66,1600,"1.00,0.55,0.79,0.66,0.55,0.79,0.55,0.55,1.00,0.55,0.79,1.00",25,0.38,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
intj jobs,"Informational, Commercial",31,1600,"0.79,0.79,0.79,1.00,1.00,0.67,0.67,0.67,0.41,0.41,0.79,0.41",31,0.50,0.01,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
intj women,Informational,32,1600,"0.69,1.00,1.00,0.85,0.85,1.00,0.85,0.69,1.00,1.00,0.85,1.00",18,0.06,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Things to know"
intj人格,Informational,35,1600,"0.81,1.00,1.00,0.00,0.00,0.00,0.07,0.08,0.08,0.13,0.10,0.13",34,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Related searches"
isfj-a,Informational,42,1600,"0.81,1.00,0.13,1.00,0.13,0.16,0.07,0.13,0.20,0.16,0.13,0.13",25,0.04,0.01,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
myers briggs rare,Informational,58,1600,"0.67,1.00,0.01,0.25,0.00,0.67,0.80,0.00,0.67,0.00,0.00,0.00",16,0.34,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
n vs s mbti,Informational,36,1600,"0.41,0.54,0.66,0.66,0.66,0.66,0.79,0.54,0.79,1.00,0.79,0.66",22,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
type 2 enneagram,Informational,63,1600,"0.84,0.68,0.84,0.84,1.00,1.00,0.68,0.68,1.00,0.68,1.00,1.00",34,0.80,0.01,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
type 3 enneagram,Informational,65,1600,"0.70,0.70,0.83,0.83,0.83,0.70,0.70,0.70,1.00,0.83,0.83,0.70",31,0.52,0.02,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Things to know"
type 5 enneagram,Informational,56,1600,"0.87,0.67,0.87,1.00,0.87,0.67,0.87,0.67,0.87,0.87,1.00,0.67",30,0.45,0.03,"AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Things to know"
type 6 enneagram,Informational,61,1600,"0.84,0.84,0.84,1.00,1.00,0.68,0.84,0.68,0.84,0.68,1.00,1.00",30,0.48,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
تست mbti,Commercial,39,1600,"0.79,0.79,1.00,0.50,0.50,0.50,0.67,0.33,0.17,0.21,0.00,0.00",29,0.55,0.04,"Reviews, Video, Related searches"
1w2 enneagram,Informational,58,1300,"1.00,0.44,0.80,0.24,0.62,1.00,1.00,1.00,0.36,1.00,0.62,0.80",22,0.37,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Discussions and forums, Related searches"
2w3 enneagram,Informational,61,1300,"0.52,0.85,0.69,0.69,0.69,0.52,0.52,0.52,0.69,0.69,1.00,0.85",23,0.64,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
3w2,Informational,42,1300,"0.81,0.61,1.00,0.81,0.61,0.61,0.81,0.61,0.81,0.81,0.81,0.81",21,0.67,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
4w3,Informational,41,1300,"0.83,0.69,0.83,0.69,0.69,0.69,0.69,0.51,0.69,0.69,0.83,1.00",20,1.48,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
6 7 gift,Informational,49,1300,"0.00,0.00,0.00,0.00,0.05,0.16,0.44,1.00,0.12,0.02,0.07,0.07",26,0.44,0.38,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products"
6w5 enneagram,Informational,56,1300,"0.70,0.35,0.70,0.52,0.52,0.52,0.52,0.52,0.52,0.70,1.00,1.00",26,0.88,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Things to know"
6w7,Informational,42,1300,"0.81,0.56,1.00,0.56,0.61,0.61,0.61,0.61,1.00,0.81,1.00,0.81",17,0.46,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
7 on enneagram,Informational,61,1300,"0.02,0.02,0.00,0.05,0.02,0.30,0.02,0.18,1.00,0.07,0.05,0.09",25,0.34,0.02,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads middle"
7w8,Informational,41,1300,"0.83,0.83,1.00,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.00,0.83",28,0.48,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
9w8,Informational,41,1300,"0.36,0.36,0.36,0.36,0.27,0.27,0.27,1.00,0.27,0.36,0.44,0.36",25,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
celebrity infp,Informational,35,1300,"0.55,0.82,0.61,1.00,1.00,0.82,0.82,0.18,1.00,0.61,0.82,0.82",25,0.01,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
eights enneagram,Informational,55,1300,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",20,0.38,0.05,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
enfp characteristics,Informational,46,1300,"0.28,0.17,1.00,0.52,0.28,0.34,0.28,0.14,0.34,0.34,0.10,0.52",29,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
enfp compatibility,Informational,40,1300,"0.75,0.67,0.75,0.67,1.00,0.75,0.75,0.56,0.75,0.67,0.75,0.75",20,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
