Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
宝石 の 国 mbti,1,1,170,16,0.00,https://character-seikaku.memo.wiki/d/%CA%F5%C0%D0%A4%CE%B9%F1,79,0.16,0.00,0.33,102,"100, 81, 67, 81, 81, 81, 81, 67, 67, 67, 81, 52",2026-07-28,"Image pack, People also ask, Related searches",informational,Organic
遊戯王 mbti,1,1,170,14,0.00,https://character-seikaku.memo.wiki/d/%CD%B7%A1%F9%B5%BA%A1%F9%B2%A6%A5%C7%A5%E5%A5%A8%A5%EB%A5%E2%A5%F3%A5%B9%A5%BF%A1%BC%A5%BA,79,0.16,0.00,0.33,98,"81, 100, 100, 67, 52, 81, 100, 52, 52, 67, 67, 81",2026-07-17,Related searches,informational,Organic
intp アニメ,1,1,170,25,0.00,https://character-seikaku.memo.wiki/d/INTP%A1%CA%B7%FA%C3%DB%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,79,0.16,0.00,0.33,127,"65, 81, 81, 100, 54, 81, 65, 54, 65, 65, 81, 65",2026-07-31,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
mbti 作品,1,1,170,24,0.00,https://character-seikaku.memo.wiki/d/%BA%EE%C9%CA%B0%EC%CD%F7,79,0.16,0.00,0.33,150,"65, 54, 81, 100, 81, 81, 54, 65, 54, 42, 35, 35",2026-07-18,"Sitelinks, Video, People also ask, Related searches",informational,Organic
16 性格 診断 キャラ,2,2,590,14,0.00,https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,76,0.15,0.00,0.33,148,"82, 100, 100, 82, 67, 82, 82, 67, 82, 67, 54, 67",2026-08-11,"Image pack, Video, People also ask, Related searches",informational,Organic
エヴァ mbti,2,2,590,32,0.00,https://character-seikaku.memo.wiki/d/%BF%B7%C0%A4%B5%AA%A5%A8%A5%F4%A5%A1%A5%F3%A5%B2%A5%EA%A5%AA%A5%F3,76,0.15,0.00,0.33,104,"67, 67, 67, 100, 82, 67, 82, 100, 100, 54, 67, 44",2026-08-01,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
isfp enfp,5,5,1900,24,0.00,https://character-seikaku.memo.wiki/d/ISFP-ENFP,76,0.15,0.00,0.33,110,"100, 100, 100, 100, 79, 67, 54, 54, 54, 67, 67, 79",2026-07-06,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
5w4,3,3,1000,19,0.00,https://character-seikaku.memo.wiki/d/5w4,70,0.14,0.00,0.01,108,"100, 100, 100, 77, 68, 77, 77, 68, 68, 77, 68, 68",2026-07-04,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
ぷよぷよ mbti,1,1,140,21,0.00,https://character-seikaku.memo.wiki/d/%A4%D7%A4%E8%A4%D7%A4%E8%A5%B7%A5%EA%A1%BC%A5%BA%28SEGA%BA%EE%C9%CA%29,65,0.13,0.00,0.33,47,"24, 100, 15, 12, 1, 7, 7, 1, 7, 36, 10, 1",2026-07-22,"Image pack, Video, People also ask, Related searches",informational,Organic
吉良 吉 影 mbti,1,1,140,13,0.00,https://character-seikaku.memo.wiki/d/%A5%B8%A5%E7%A5%B8%A5%E7%A4%CE%B4%F1%CC%AF%A4%CA%CB%C1%B8%B1%20%20%20%20%C2%E84%C9%F4%20%20%20%20%A5%C0%A5%A4%A5%E4%A5%E2%A5%F3%A5%C9%A4%CF%BA%D5%A4%B1%A4%CA%A4%A4,65,0.13,0.00,0.33,105,"52, 52, 67, 52, 52, 67, 100, 67, 67, 81, 100, 100",2026-07-18,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
beastars mbti,1,1,140,22,0.00,https://character-seikaku.memo.wiki/d/BEASTARS,65,0.13,0.00,0.33,104,"3, 2, 2, 24, 29, 2, 5, 2, 100, 7, 81, 5",2026-08-13,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
estp infp,4,4,1300,16,0.00,https://character-seikaku.memo.wiki/d/ESTP-INFP,65,0.13,0.00,0.33,117,"100, 100, 100, 84, 84, 68, 68, 53, 53, 53, 53, 68",2026-07-07,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
a3 mbti,1,1,140,25,0.00,https://character-seikaku.memo.wiki/d/A3%21,65,0.13,0.00,0.33,40,"52, 67, 67, 43, 81, 67, 81, 43, 81, 100, 67, 43",2026-07-24,"Video, People also ask, Related searches",informational,Organic
マギ mbti,1,1,140,10,0.00,https://character-seikaku.memo.wiki/d/%A5%DE%A5%AE,65,0.13,0.00,0.33,102,"81, 67, 81, 52, 52, 67, 100, 67, 52, 52, 52, 100",2026-08-01,Related searches,informational,Organic
